"","T1","T2","T3","Control"
"1",100,100,100,318
"2",100,100,100,362
"3",100,100,100,335
"4",100,100,100,298
"5",100,100,100,302
"6",100,100,100,282
"7",100,100,100,284
"8",100,100,100,316
"9",100,100,100,330
"10",100,100,100,309
"11",100,100,100,303
"12",100,100,100,293
"13",100,100,100,286
"14",100,100,100,280
"15",100,100,100,283
"16",100,100,100,332
"17",100,100,100,301
"18",100,100,100,280
"19",100,100,100,336
"20",100,100,100,283
"21",100,100,100,329
"22",100,100,100,334
"23",100,100,100,296
"24",100,100,100,365
"25",100,100,100,304
"26",100,100,100,369
"27",100,100,100,282
"28",100,100,100,305
"29",100,100,100,308
"30",100,100,100,277
"31",100,100,100,316
"32",100,100,100,350
"33",100,100,100,306
"34",100,100,100,283
"35",100,100,100,316
"36",100,100,100,325
"37",100,100,100,273
"38",100,100,100,334
"39",100,100,100,320
"40",100,100,100,316
"41",100,100,100,301
"42",100,100,100,295
"43",100,100,100,321
"44",100,100,100,306
"45",100,100,100,271
"46",100,100,100,279
"47",100,100,100,296
"48",100,100,100,299
"49",100,100,100,356
"50",100,100,100,276
"51",100,100,100,359
"52",100,100,100,326
"53",100,100,100,354
"54",100,100,100,309
"55",100,100,100,272
"56",100,100,100,280
"57",100,100,100,301
"58",100,100,100,290
"59",100,100,100,325
"60",100,100,100,341
"61",100,100,100,316
"62",100,100,100,293
"63",100,100,100,302
"64",100,100,100,316
"65",100,100,100,286
"66",100,100,100,273
"67",100,100,100,313
"68",100,100,100,318
"69",100,100,100,277
"70",100,100,100,248
"71",100,100,100,318
"72",100,100,100,255
"73",100,100,100,321
"74",100,100,100,331
"75",100,100,100,295
"76",100,100,100,275
"77",100,100,100,339
"78",100,100,100,309
"79",100,100,100,292
"80",100,100,100,337
"81",100,100,100,307
"82",100,100,100,266
"83",100,100,100,309
"84",100,100,100,303
"85",100,100,100,282
"86",100,100,100,293
"87",100,100,100,324
"88",100,100,100,334
"89",100,100,100,327
"90",100,100,100,319
"91",100,100,100,342
"92",100,100,100,273
"93",100,100,100,325
"94",100,100,100,316
"95",100,100,100,271
"96",100,100,100,266
"97",100,100,100,307
"98",100,100,100,306
"99",100,100,100,267
"100",100,100,100,287
