"","T1","T2","T3","Control"
"1",100,100,100,314
"2",100,100,100,337
"3",100,100,100,280
"4",100,100,100,309
"5",100,100,100,311
"6",100,100,100,271
"7",100,100,100,285
"8",100,100,100,299
"9",100,100,100,278
"10",100,100,100,321
"11",100,100,100,329
"12",100,100,100,280
"13",100,100,100,324
"14",100,100,100,294
"15",100,100,100,310
"16",100,100,100,294
"17",100,100,100,344
"18",100,100,100,277
"19",100,100,100,276
"20",100,100,100,268
"21",100,100,100,319
"22",100,100,100,294
"23",100,100,100,271
"24",100,100,100,301
"25",100,100,100,282
"26",100,100,100,327
"27",100,100,100,309
"28",100,100,100,333
"29",100,100,100,270
"30",100,100,100,272
"31",100,100,100,290
"32",100,100,100,313
"33",100,100,100,307
"34",100,100,100,300
"35",100,100,100,323
"36",100,100,100,328
"37",100,100,100,331
"38",100,100,100,353
"39",100,100,100,290
"40",100,100,100,290
"41",100,100,100,249
"42",100,100,100,277
"43",100,100,100,302
"44",100,100,100,332
"45",100,100,100,322
"46",100,100,100,259
"47",100,100,100,282
"48",100,100,100,344
"49",100,100,100,330
"50",100,100,100,315
"51",100,100,100,320
"52",100,100,100,303
"53",100,100,100,322
"54",100,100,100,304
"55",100,100,100,261
"56",100,100,100,282
"57",100,100,100,341
"58",100,100,100,274
"59",100,100,100,313
"60",100,100,100,290
"61",100,100,100,328
"62",100,100,100,294
"63",100,100,100,279
"64",100,100,100,303
"65",100,100,100,290
"66",100,100,100,348
"67",100,100,100,320
"68",100,100,100,297
"69",100,100,100,343
"70",100,100,100,345
"71",100,100,100,312
"72",100,100,100,283
"73",100,100,100,320
"74",100,100,100,284
"75",100,100,100,355
"76",100,100,100,295
"77",100,100,100,312
"78",100,100,100,283
"79",100,100,100,261
"80",100,100,100,349
"81",100,100,100,343
"82",100,100,100,252
"83",100,100,100,329
"84",100,100,100,326
"85",100,100,100,286
"86",100,100,100,307
"87",100,100,100,311
"88",100,100,100,328
"89",100,100,100,287
"90",100,100,100,337
"91",100,100,100,311
"92",100,100,100,250
"93",100,100,100,332
"94",100,100,100,271
"95",100,100,100,323
"96",100,100,100,307
"97",100,100,100,322
"98",100,100,100,349
"99",100,100,100,284
"100",100,100,100,281
