"","T1","T2","T3","Control"
"1",100,100,100,287
"2",100,100,100,309
"3",100,100,100,290
"4",100,100,100,271
"5",100,100,100,308
"6",100,100,100,351
"7",100,100,100,269
"8",100,100,100,288
"9",100,100,100,287
"10",100,100,100,296
"11",100,100,100,335
"12",100,100,100,319
"13",100,100,100,295
"14",100,100,100,315
"15",100,100,100,275
"16",100,100,100,343
"17",100,100,100,310
"18",100,100,100,272
"19",100,100,100,286
"20",100,100,100,300
"21",100,100,100,301
"22",100,100,100,310
"23",100,100,100,307
"24",100,100,100,357
"25",100,100,100,267
"26",100,100,100,270
"27",100,100,100,279
"28",100,100,100,358
"29",100,100,100,350
"30",100,100,100,334
"31",100,100,100,263
"32",100,100,100,239
"33",100,100,100,293
"34",100,100,100,335
"35",100,100,100,287
"36",100,100,100,335
"37",100,100,100,321
"38",100,100,100,315
"39",100,100,100,305
"40",100,100,100,367
"41",100,100,100,282
"42",100,100,100,316
"43",100,100,100,278
"44",100,100,100,302
"45",100,100,100,336
"46",100,100,100,383
"47",100,100,100,309
"48",100,100,100,313
"49",100,100,100,306
"50",100,100,100,306
"51",100,100,100,280
"52",100,100,100,286
"53",100,100,100,319
"54",100,100,100,327
"55",100,100,100,303
"56",100,100,100,350
"57",100,100,100,246
"58",100,100,100,280
"59",100,100,100,312
"60",100,100,100,338
"61",100,100,100,307
"62",100,100,100,288
"63",100,100,100,292
"64",100,100,100,259
"65",100,100,100,308
"66",100,100,100,310
"67",100,100,100,316
"68",100,100,100,328
"69",100,100,100,340
"70",100,100,100,284
"71",100,100,100,319
"72",100,100,100,326
"73",100,100,100,321
"74",100,100,100,276
"75",100,100,100,302
"76",100,100,100,302
"77",100,100,100,308
"78",100,100,100,339
"79",100,100,100,320
"80",100,100,100,312
"81",100,100,100,265
"82",100,100,100,321
"83",100,100,100,285
"84",100,100,100,321
"85",100,100,100,283
"86",100,100,100,320
"87",100,100,100,346
"88",100,100,100,335
"89",100,100,100,355
"90",100,100,100,297
"91",100,100,100,293
"92",100,100,100,306
"93",100,100,100,340
"94",100,100,100,313
"95",100,100,100,317
"96",100,100,100,296
"97",100,100,100,289
"98",100,100,100,323
"99",100,100,100,287
"100",100,100,100,360
