"","T1","T2","T3","Control"
"1",77,100,75,287
"2",99,100,100,275
"3",83,100,92,317
"4",100,100,100,332
"5",70,100,96,256
"6",70,100,94,283
"7",78,100,96,278
"8",79,100,100,308
"9",91,100,98,303
"10",98,100,100,317
"11",100,100,100,320
"12",100,100,100,279
"13",89,100,100,283
"14",78,100,83,273
"15",95,100,100,287
"16",100,100,100,290
"17",83,100,94,261
"18",87,100,100,302
"19",100,100,100,279
"20",99,100,100,283
"21",84,100,96,305
"22",82,100,96,299
"23",75,100,100,283
"24",100,100,100,276
"25",100,100,100,339
"26",100,100,100,292
"27",99,100,100,326
"28",90,100,98,297
"29",75,100,87,275
"30",100,100,100,266
"31",88,100,100,298
"32",70,100,76,286
"33",100,100,100,298
"34",71,100,68,274
"35",100,100,100,288
"36",97,100,99,326
"37",100,100,100,305
"38",100,100,100,297
"39",93,100,100,307
"40",83,100,100,300
"41",100,100,100,283
"42",76,100,96,298
"43",100,100,100,270
"44",93,100,100,289
"45",100,100,100,306
"46",100,100,100,331
"47",100,100,100,291
"48",100,100,100,292
"49",91,100,72,269
"50",88,100,84,294
"51",100,100,100,320
"52",100,100,100,271
"53",100,100,100,287
"54",95,100,100,282
"55",76,100,100,294
"56",100,100,100,267
"57",100,100,100,291
"58",90,100,100,319
"59",99,100,100,343
"60",100,100,100,296
"61",100,100,100,291
"62",79,100,90,287
"63",100,100,100,311
"64",100,100,100,279
"65",100,100,100,271
"66",100,100,100,309
"67",100,100,100,286
"68",82,100,100,281
"69",100,100,100,280
"70",83,100,93,258
"71",74,100,87,276
"72",100,100,100,283
"73",100,100,100,303
"74",91,100,93,291
"75",100,100,100,293
"76",100,100,100,293
"77",100,100,100,315
"78",89,100,99,331
"79",69,100,98,270
"80",100,100,100,270
"81",95,100,100,284
"82",100,100,100,286
"83",100,100,100,267
"84",100,100,100,305
"85",75,100,94,298
"86",96,100,100,303
"87",71,100,90,284
"88",89,100,98,290
"89",74,100,96,309
"90",100,100,100,304
"91",100,100,100,312
"92",100,100,100,289
"93",100,100,100,276
"94",100,100,100,303
"95",100,100,100,319
"96",86,100,98,239
"97",100,100,100,308
"98",100,100,100,284
"99",100,100,100,281
"100",100,100,100,251
