"","T1","T2","T3"
"1",16,40,29
"2",18,35,28
"3",18,37,35
"4",15,58,33
"5",18,55,27
"6",14,34,40
"7",14,39,35
"8",17,42,29
"9",16,53,36
"10",17,34,35
"11",18,40,39
"12",18,38,27
"13",15,35,28
"14",15,35,30
"15",15,36,29
"16",15,37,30
"17",17,37,34
"18",16,47,34
"19",16,36,38
"20",22,47,40
"21",18,45,32
"22",21,45,43
"23",14,33,28
"24",19,38,42
"25",17,52,31
"26",19,43,37
"27",19,49,51
"28",18,39,41
"29",15,39,29
"30",19,37,38
"31",18,49,50
"32",15,32,27
"33",19,37,43
"34",15,35,33
"35",18,44,28
"36",17,40,32
"37",21,41,42
"38",18,46,34
"39",17,32,27
"40",13,31,27
"41",20,39,41
"42",18,54,46
"43",17,48,39
"44",19,50,43
"45",16,36,28
"46",16,49,33
"47",19,47,45
"48",16,43,38
"49",15,36,32
"50",11,36,28
"51",16,44,39
"52",21,44,36
"53",15,30,26
"54",16,39,32
"55",17,43,45
"56",13,36,27
"57",15,38,24
"58",14,50,34
"59",16,39,32
"60",17,32,34
"61",13,54,50
"62",17,40,31
"63",13,44,29
"64",16,38,27
"65",14,48,33
"66",17,32,29
"67",16,46,49
"68",16,38,39
"69",15,33,25
"70",14,38,32
"71",16,45,46
"72",17,40,34
"73",18,36,39
"74",18,54,35
"75",15,37,31
"76",18,46,38
"77",12,42,48
"78",15,44,33
"79",15,45,40
"80",14,40,31
"81",16,42,39
"82",19,45,44
"83",18,50,60
"84",19,38,35
"85",16,41,36
"86",19,44,38
"87",17,50,38
"88",12,33,30
"89",14,41,27
"90",17,40,32
"91",18,37,46
"92",15,48,33
"93",12,35,27
"94",15,48,47
"95",18,38,33
"96",21,45,41
"97",17,33,33
"98",20,51,53
"99",15,36,30
"100",15,43,31
