"","T1","T2","T3","Control"
"1",100,100,100,328
"2",100,100,100,318
"3",100,100,100,346
"4",100,100,100,320
"5",100,100,100,285
"6",100,100,100,287
"7",100,100,100,291
"8",100,100,100,289
"9",100,100,100,310
"10",100,100,100,290
"11",100,100,100,321
"12",100,100,100,336
"13",100,100,100,325
"14",100,100,100,315
"15",100,100,100,290
"16",100,100,100,309
"17",100,100,100,326
"18",100,100,100,297
"19",100,100,100,281
"20",100,100,100,326
"21",100,100,100,309
"22",100,100,100,306
"23",100,100,100,336
"24",100,100,100,349
"25",100,100,100,354
"26",100,100,100,312
"27",100,100,100,335
"28",100,100,100,319
"29",100,100,100,311
"30",100,100,100,321
"31",100,100,100,287
"32",100,100,100,308
"33",100,100,100,313
"34",100,100,100,289
"35",100,100,100,318
"36",100,100,100,299
"37",100,100,100,326
"38",100,100,100,309
"39",100,100,100,347
"40",100,100,100,307
"41",100,100,100,358
"42",100,100,100,323
"43",100,100,100,377
"44",100,100,100,359
"45",100,100,100,301
"46",100,100,100,308
"47",100,100,100,308
"48",100,100,100,316
"49",100,100,100,278
"50",100,100,100,323
"51",100,100,100,338
"52",100,100,100,326
"53",100,100,100,296
"54",100,100,100,347
"55",100,100,100,292
"56",100,100,100,310
"57",100,100,100,349
"58",100,100,100,300
"59",100,100,100,303
"60",100,100,100,303
"61",100,100,100,298
"62",100,100,100,283
"63",100,100,100,305
"64",100,100,100,294
"65",100,100,100,301
"66",100,100,100,330
"67",100,100,100,320
"68",100,100,100,311
"69",100,100,100,303
"70",100,100,100,273
"71",100,100,100,305
"72",100,100,100,308
"73",100,100,100,312
"74",100,100,100,327
"75",100,100,100,286
"76",100,100,100,322
"77",100,100,100,318
"78",100,100,100,346
"79",100,100,100,316
"80",100,100,100,322
"81",100,100,100,310
"82",100,100,100,339
"83",100,100,100,318
"84",100,100,100,284
"85",100,100,100,298
"86",100,100,100,281
"87",100,100,100,311
"88",100,100,100,331
"89",100,100,100,307
"90",100,100,100,366
"91",100,100,100,329
"92",100,100,100,320
"93",100,100,100,324
"94",100,100,100,295
"95",100,100,100,291
"96",100,100,100,314
"97",100,100,100,299
"98",100,100,100,303
"99",100,100,100,316
"100",100,100,100,341
