"","T1","T2","T3"
"1",37,31,28
"2",34,25,28
"3",34,21,23
"4",42,26,33
"5",28,19,22
"6",32,26,27
"7",35,21,26
"8",28,18,22
"9",33,24,26
"10",36,29,28
"11",32,22,27
"12",36,28,29
"13",31,24,23
"14",34,28,24
"15",46,31,35
"16",34,25,27
"17",36,22,26
"18",29,22,26
"19",30,21,23
"20",38,22,27
"21",35,27,29
"22",39,28,31
"23",34,25,27
"24",36,24,27
"25",27,18,22
"26",35,24,28
"27",36,25,30
"28",44,29,32
"29",36,22,27
"30",33,26,25
"31",31,24,25
"32",34,23,25
"33",33,26,26
"34",40,27,32
"35",37,30,32
"36",32,24,26
"37",32,22,25
"38",38,23,28
"39",31,22,24
"40",31,23,26
"41",39,34,35
"42",35,21,23
"43",35,27,29
"44",35,25,26
"45",33,27,26
"46",30,21,24
"47",34,27,28
"48",37,28,29
"49",29,24,26
"50",34,24,27
"51",29,22,24
"52",30,25,25
"53",31,24,23
"54",30,21,24
"55",32,24,27
"56",28,22,21
"57",27,19,22
"58",37,29,31
"59",31,25,25
"60",36,28,30
"61",25,19,21
"62",30,22,26
"63",37,29,28
"64",34,22,26
"65",35,22,27
"66",29,23,25
"67",29,19,23
"68",30,21,24
"69",30,21,24
"70",34,23,27
"71",27,20,22
"72",30,19,23
"73",34,23,27
"74",29,20,24
"75",31,26,26
"76",30,22,23
"77",33,24,26
"78",32,23,23
"79",33,24,25
"80",35,25,24
"81",39,23,28
"82",35,29,28
"83",31,21,24
"84",35,25,26
"85",36,24,26
"86",34,25,27
"87",29,24,23
"88",31,22,25
"89",29,22,24
"90",32,22,25
"91",35,25,29
"92",43,27,30
"93",32,26,27
"94",31,21,24
"95",36,23,26
"96",28,22,23
"97",29,22,24
"98",39,28,27
"99",35,26,27
"100",31,22,25
