"","T1","T2","T3","Control"
"1",100,100,100,314
"2",100,100,100,323
"3",100,100,100,310
"4",100,100,100,293
"5",100,100,100,357
"6",100,100,100,347
"7",100,100,100,260
"8",100,100,100,297
"9",100,100,100,353
"10",100,100,100,328
"11",100,100,100,263
"12",100,100,100,303
"13",100,100,100,336
"14",100,100,100,332
"15",100,100,100,366
"16",100,100,100,309
"17",100,100,100,307
"18",100,100,100,328
"19",100,100,100,333
"20",100,100,100,327
"21",100,100,100,297
"22",100,100,100,361
"23",100,100,100,285
"24",100,100,100,273
"25",100,100,100,332
"26",100,100,100,302
"27",100,100,100,312
"28",100,100,100,296
"29",100,100,100,297
"30",100,100,100,314
"31",100,100,100,308
"32",100,100,100,325
"33",100,100,100,283
"34",100,100,100,322
"35",100,100,100,291
"36",100,100,100,293
"37",100,100,100,291
"38",100,100,100,277
"39",100,100,100,299
"40",100,100,100,283
"41",100,100,100,294
"42",100,100,100,291
"43",100,100,100,283
"44",100,100,100,317
"45",100,100,100,289
"46",100,100,100,325
"47",100,100,100,252
"48",100,100,100,280
"49",100,100,100,292
"50",100,100,100,305
"51",100,100,100,278
"52",100,100,100,278
"53",100,100,100,324
"54",100,100,100,282
"55",100,100,100,341
"56",100,100,100,310
"57",100,100,100,305
"58",100,100,100,236
"59",100,100,100,265
"60",100,100,100,326
"61",100,100,100,317
"62",100,100,100,359
"63",100,100,100,271
"64",100,100,100,335
"65",100,100,100,272
"66",100,100,100,310
"67",100,100,100,256
"68",100,100,100,291
"69",100,100,100,333
"70",100,100,100,300
"71",100,100,100,321
"72",100,100,100,316
"73",100,100,100,266
"74",100,100,100,323
"75",100,100,100,258
"76",100,100,100,333
"77",100,100,100,289
"78",100,100,100,311
"79",100,100,100,343
"80",100,100,100,311
"81",100,100,100,269
"82",100,100,100,270
"83",100,100,100,331
"84",100,100,100,322
"85",100,100,100,303
"86",100,100,100,334
"87",100,100,100,316
"88",100,100,100,332
"89",100,100,100,297
"90",100,100,100,285
"91",100,100,100,282
"92",100,100,100,288
"93",100,100,100,275
"94",100,100,100,360
"95",100,100,100,304
"96",100,100,100,340
"97",100,100,100,321
"98",100,100,100,310
"99",100,100,100,286
"100",100,100,100,299
