"","T1","T2","T3","Control"
"1",100,100,100,272
"2",100,100,100,279
"3",100,100,100,286
"4",100,100,100,321
"5",100,100,100,314
"6",100,100,100,306
"7",100,100,100,319
"8",100,100,100,281
"9",100,100,100,319
"10",100,100,100,320
"11",100,100,100,285
"12",100,100,100,270
"13",100,100,100,282
"14",100,100,100,294
"15",100,100,100,333
"16",100,100,100,288
"17",100,100,100,341
"18",100,100,100,327
"19",100,100,100,331
"20",100,100,100,322
"21",100,100,100,310
"22",100,100,100,330
"23",100,100,100,296
"24",100,100,100,292
"25",100,100,100,320
"26",100,100,100,334
"27",100,100,100,293
"28",100,100,100,273
"29",100,100,100,270
"30",100,100,100,338
"31",100,100,100,329
"32",100,100,100,296
"33",100,100,100,289
"34",100,100,100,279
"35",100,100,100,314
"36",100,100,100,280
"37",100,100,100,323
"38",100,100,100,336
"39",100,100,100,286
"40",100,100,100,255
"41",100,100,100,331
"42",100,100,100,331
"43",100,100,100,312
"44",100,100,100,324
"45",100,100,100,276
"46",100,100,100,276
"47",100,100,100,339
"48",100,100,100,368
"49",100,100,100,271
"50",100,100,100,328
"51",100,100,100,341
"52",100,100,100,340
"53",100,100,100,303
"54",100,100,100,301
"55",100,100,100,318
"56",100,100,100,280
"57",100,100,100,290
"58",100,100,100,303
"59",100,100,100,282
"60",100,100,100,302
"61",100,100,100,304
"62",100,100,100,327
"63",100,100,100,276
"64",100,100,100,301
"65",100,100,100,298
"66",100,100,100,269
"67",100,100,100,357
"68",100,100,100,314
"69",100,100,100,300
"70",100,100,100,294
"71",100,100,100,299
"72",100,100,100,323
"73",100,100,100,310
"74",100,100,100,314
"75",100,100,100,314
"76",100,100,100,306
"77",100,100,100,373
"78",100,100,100,302
"79",100,100,100,287
"80",100,100,100,284
"81",100,100,100,312
"82",100,100,100,357
"83",100,100,100,353
"84",100,100,100,295
"85",100,100,100,307
"86",100,100,100,305
"87",100,100,100,305
"88",100,100,100,278
"89",100,100,100,278
"90",100,100,100,314
"91",100,100,100,360
"92",100,100,100,314
"93",100,100,100,309
"94",100,100,100,320
"95",100,100,100,311
"96",100,100,100,319
"97",100,100,100,295
"98",100,100,100,323
"99",100,100,100,317
"100",100,100,100,279
