"","T1","T2","T3"
"1",27,21,41
"2",22,19,30
"3",24,23,33
"4",23,18,30
"5",28,25,38
"6",21,19,30
"7",22,17,35
"8",24,21,34
"9",23,20,29
"10",25,23,35
"11",27,24,38
"12",24,25,36
"13",23,22,31
"14",27,23,36
"15",23,22,29
"16",27,25,37
"17",19,16,28
"18",24,20,35
"19",26,20,34
"20",29,26,37
"21",24,21,31
"22",26,23,33
"23",23,25,39
"24",24,23,41
"25",28,25,34
"26",23,21,30
"27",24,20,32
"28",24,20,36
"29",24,21,32
"30",26,23,36
"31",18,14,23
"32",23,23,36
"33",24,21,33
"34",26,21,35
"35",29,27,39
"36",23,21,35
"37",25,24,32
"38",24,23,32
"39",26,23,34
"40",20,19,27
"41",20,18,27
"42",20,17,26
"43",22,22,32
"44",19,14,23
"45",23,22,31
"46",24,23,32
"47",25,20,37
"48",22,20,33
"49",20,17,28
"50",23,20,33
"51",24,21,32
"52",26,24,34
"53",25,22,36
"54",23,22,31
"55",26,24,34
"56",23,20,33
"57",27,23,36
"58",29,27,38
"59",28,27,41
"60",27,26,36
"61",24,22,37
"62",20,18,27
"63",22,20,28
"64",22,23,30
"65",27,23,37
"66",25,25,35
"67",20,18,26
"68",23,22,32
"69",20,18,27
"70",24,21,33
"71",23,22,31
"72",28,24,34
"73",29,28,42
"74",22,21,28
"75",22,21,29
"76",26,25,35
"77",25,22,32
"78",28,25,37
"79",27,24,38
"80",26,23,35
"81",23,17,31
"82",22,21,31
"83",23,22,33
"84",23,23,33
"85",25,21,32
"86",23,21,30
"87",27,26,40
"88",25,25,34
"89",22,19,32
"90",28,29,38
"91",25,21,35
"92",28,23,37
"93",20,19,27
"94",27,23,36
"95",25,23,33
"96",27,23,36
"97",27,25,38
"98",21,19,29
"99",24,24,34
"100",23,20,33
