"","T1","T2","T3"
"1",30,24,27
"2",26,20,23
"3",29,23,27
"4",34,24,31
"5",32,26,28
"6",35,24,32
"7",34,25,28
"8",32,23,28
"9",28,23,24
"10",32,22,28
"11",31,21,29
"12",32,27,28
"13",30,24,27
"14",34,23,29
"15",37,28,31
"16",37,30,31
"17",34,31,37
"18",40,28,33
"19",28,20,25
"20",32,23,29
"21",29,20,26
"22",29,22,28
"23",38,26,34
"24",31,23,26
"25",33,28,31
"26",28,21,26
"27",32,21,29
"28",37,28,36
"29",28,23,28
"30",41,27,32
"31",27,21,24
"32",33,25,32
"33",33,27,25
"34",32,26,29
"35",29,24,27
"36",36,26,32
"37",30,25,26
"38",34,24,28
"39",36,25,30
"40",26,19,22
"41",30,23,26
"42",37,27,33
"43",29,23,25
"44",36,24,30
"45",41,31,36
"46",31,26,29
"47",36,26,30
"48",34,25,32
"49",38,31,34
"50",34,26,30
"51",31,24,23
"52",36,29,32
"53",43,28,32
"54",34,23,32
"55",36,25,31
"56",34,27,31
"57",34,30,30
"58",34,27,32
"59",31,23,27
"60",33,23,29
"61",37,31,34
"62",31,19,28
"63",33,22,30
"64",33,25,29
"65",30,21,26
"66",30,24,27
"67",36,26,30
"68",34,28,30
"69",27,21,24
"70",31,20,28
"71",32,28,29
"72",35,26,31
"73",31,20,26
"74",39,27,31
"75",38,27,35
"76",39,26,33
"77",29,22,26
"78",39,25,35
"79",34,26,33
"80",38,24,35
"81",34,25,30
"82",33,24,30
"83",31,24,28
"84",34,23,28
"85",32,26,30
"86",34,26,30
"87",37,26,31
"88",31,23,29
"89",25,20,23
"90",41,29,37
"91",41,30,35
"92",28,23,26
"93",33,26,28
"94",34,27,30
"95",33,26,30
"96",32,25,30
"97",34,27,31
"98",28,21,24
"99",32,22,28
"100",30,21,27
