"","T1","T2","T3"
"1",32,25,30
"2",27,21,26
"3",37,23,30
"4",33,26,30
"5",32,19,27
"6",33,24,30
"7",29,23,27
"8",33,21,31
"9",39,26,33
"10",34,26,29
"11",34,26,30
"12",30,23,25
"13",33,26,30
"14",33,27,30
"15",38,23,30
"16",39,28,38
"17",30,22,28
"18",36,29,32
"19",31,25,30
"20",32,26,23
"21",30,25,28
"22",40,29,34
"23",30,24,28
"24",33,23,26
"25",32,26,26
"26",31,24,27
"27",27,21,26
"28",37,27,33
"29",36,24,31
"30",36,26,33
"31",35,25,32
"32",32,23,29
"33",28,23,27
"34",42,28,39
"35",34,25,31
"36",37,23,30
"37",30,23,25
"38",31,21,29
"39",39,27,33
"40",29,22,27
"41",30,22,27
"42",43,27,37
"43",35,25,30
"44",39,29,31
"45",31,24,27
"46",41,28,37
"47",28,19,24
"48",27,22,23
"49",34,26,28
"50",34,21,32
"51",30,22,26
"52",35,24,31
"53",37,31,33
"54",36,26,31
"55",32,28,29
"56",37,25,31
"57",40,29,35
"58",34,27,32
"59",34,31,33
"60",30,21,24
"61",42,32,39
"62",28,21,24
"63",38,30,32
"64",31,23,29
"65",30,24,28
"66",33,26,28
"67",31,27,28
"68",31,28,29
"69",36,24,32
"70",33,25,27
"71",33,23,28
"72",31,23,29
"73",33,26,29
"74",36,23,35
"75",33,28,27
"76",32,28,33
"77",38,28,31
"78",33,29,30
"79",35,25,31
"80",36,24,33
"81",33,24,28
"82",29,25,26
"83",35,24,29
"84",30,24,28
"85",33,23,27
"86",31,24,29
"87",31,24,27
"88",24,19,23
"89",42,29,36
"90",37,24,31
"91",35,26,29
"92",32,23,32
"93",26,20,24
"94",36,27,33
"95",33,25,30
"96",35,27,32
"97",38,30,32
"98",24,19,21
"99",35,22,32
"100",30,22,29
