"","T1","T2","T3","Control"
"1",100,100,100,295
"2",100,100,100,331
"3",100,100,100,319
"4",100,100,100,277
"5",100,100,100,318
"6",100,100,100,297
"7",100,100,100,340
"8",100,100,100,314
"9",100,100,100,308
"10",100,100,100,296
"11",100,100,100,308
"12",100,100,100,263
"13",100,100,100,298
"14",100,100,100,291
"15",100,100,100,282
"16",100,100,100,280
"17",100,100,100,329
"18",100,100,100,316
"19",100,100,100,313
"20",100,100,100,265
"21",100,100,100,290
"22",100,100,100,335
"23",100,100,100,305
"24",100,100,100,301
"25",100,100,100,353
"26",100,100,100,326
"27",100,100,100,308
"28",100,100,100,325
"29",100,100,100,327
"30",100,100,100,264
"31",100,100,100,277
"32",100,100,100,295
"33",100,100,100,271
"34",100,100,100,326
"35",100,100,100,337
"36",100,100,100,298
"37",100,100,100,332
"38",100,100,100,290
"39",100,100,100,285
"40",100,100,100,270
"41",100,100,100,255
"42",100,100,100,308
"43",100,100,100,283
"44",100,100,100,307
"45",100,100,100,262
"46",100,100,100,297
"47",100,100,100,324
"48",100,100,100,350
"49",100,100,100,320
"50",100,100,100,354
"51",100,100,100,259
"52",100,100,100,291
"53",100,100,100,334
"54",100,100,100,299
"55",100,100,100,295
"56",100,100,100,295
"57",100,100,100,329
"58",100,100,100,291
"59",100,100,100,276
"60",100,100,100,306
"61",100,100,100,344
"62",100,100,100,332
"63",100,100,100,312
"64",100,100,100,303
"65",100,100,100,348
"66",100,100,100,346
"67",100,100,100,324
"68",100,100,100,318
"69",100,100,100,330
"70",100,100,100,327
"71",100,100,100,319
"72",100,100,100,302
"73",100,100,100,314
"74",100,100,100,312
"75",100,100,100,328
"76",100,100,100,312
"77",100,100,100,319
"78",100,100,100,315
"79",100,100,100,285
"80",100,100,100,347
"81",100,100,100,296
"82",100,100,100,347
"83",100,100,100,341
"84",100,100,100,322
"85",100,100,100,330
"86",100,100,100,282
"87",100,100,100,312
"88",100,100,100,330
"89",100,100,100,370
"90",100,100,100,256
"91",100,100,100,347
"92",100,100,100,304
"93",100,100,100,329
"94",100,100,100,283
"95",100,100,100,318
"96",100,100,100,296
"97",100,100,100,285
"98",100,100,100,361
"99",100,100,100,291
"100",100,100,100,263
