"","T1","T2","T3"
"1",34,26,30
"2",31,26,27
"3",29,21,27
"4",35,27,31
"5",33,24,29
"6",33,22,28
"7",33,21,27
"8",32,26,29
"9",30,24,31
"10",31,23,27
"11",35,27,32
"12",37,28,32
"13",33,23,27
"14",29,20,26
"15",32,25,29
"16",28,22,25
"17",31,22,25
"18",31,28,27
"19",37,26,31
"20",30,24,28
"21",32,19,29
"22",31,23,27
"23",33,22,26
"24",30,24,26
"25",30,22,27
"26",31,24,29
"27",35,28,34
"28",27,22,25
"29",31,22,27
"30",34,24,29
"31",31,23,28
"32",27,22,26
"33",30,23,28
"34",33,22,29
"35",40,27,33
"36",33,27,30
"37",32,27,28
"38",29,22,27
"39",33,27,31
"40",27,20,25
"41",32,22,29
"42",33,27,30
"43",26,18,21
"44",29,22,25
"45",33,26,30
"46",41,25,36
"47",33,26,30
"48",33,27,29
"49",31,26,29
"50",33,24,29
"51",30,21,26
"52",35,29,33
"53",31,23,28
"54",34,25,31
"55",32,23,28
"56",32,25,27
"57",34,25,31
"58",28,22,25
"59",35,28,32
"60",41,32,38
"61",47,27,40
"62",34,26,30
"63",30,26,29
"64",36,21,35
"65",31,25,27
"66",42,25,37
"67",38,27,34
"68",31,25,27
"69",28,23,25
"70",41,34,35
"71",35,24,29
"72",26,21,23
"73",33,25,30
"74",42,27,41
"75",30,23,28
"76",31,23,29
"77",35,24,31
"78",30,24,28
"79",42,24,34
"80",30,25,26
"81",38,24,34
"82",32,22,26
"83",29,23,25
"84",32,26,29
"85",29,22,26
"86",28,23,25
"87",39,25,34
"88",31,21,28
"89",33,22,29
"90",28,22,27
"91",38,31,32
"92",35,29,33
"93",32,24,29
"94",32,23,29
"95",30,24,27
"96",38,32,36
"97",33,23,29
"98",35,21,28
"99",41,29,33
"100",28,20,25
