"","T1","T2","T3"
"1",16,30,22
"2",16,33,22
"3",15,33,21
"4",16,31,23
"5",17,30,23
"6",12,25,19
"7",10,28,17
"8",16,31,22
"9",19,35,28
"10",14,27,19
"11",13,30,20
"12",17,33,24
"13",18,34,24
"14",17,35,25
"15",17,40,25
"16",20,39,28
"17",22,47,32
"18",15,33,22
"19",16,31,21
"20",17,38,24
"21",13,28,19
"22",14,29,21
"23",14,35,22
"24",15,40,23
"25",15,32,23
"26",13,33,23
"27",16,40,26
"28",14,31,21
"29",19,31,23
"30",15,32,22
"31",17,32,23
"32",13,28,20
"33",17,32,23
"34",14,27,20
"35",19,38,27
"36",16,32,21
"37",18,35,26
"38",17,36,24
"39",18,36,24
"40",15,34,21
"41",17,40,26
"42",15,32,21
"43",17,34,23
"44",16,38,26
"45",17,32,23
"46",13,30,19
"47",17,38,25
"48",16,34,24
"49",13,27,19
"50",15,34,24
"51",19,39,27
"52",13,34,21
"53",18,33,24
"54",18,41,27
"55",13,31,22
"56",18,35,25
"57",14,33,22
"58",16,34,22
"59",12,29,21
"60",16,32,23
"61",16,29,23
"62",15,31,22
"63",17,31,23
"64",17,31,24
"65",16,30,22
"66",19,40,27
"67",15,33,23
"68",16,30,21
"69",15,35,25
"70",16,27,22
"71",14,30,20
"72",17,37,24
"73",13,30,21
"74",15,32,22
"75",15,29,21
"76",12,31,19
"77",18,37,26
"78",14,34,22
"79",13,29,19
"80",14,39,23
"81",14,30,21
"82",17,33,23
"83",16,32,23
"84",11,29,17
"85",14,28,19
"86",17,30,23
"87",16,35,24
"88",16,40,27
"89",14,34,22
"90",17,39,27
"91",14,30,21
"92",18,36,25
"93",15,34,23
"94",18,34,26
"95",16,33,22
"96",16,33,25
"97",18,37,27
"98",14,30,20
"99",17,34,23
"100",17,32,24
