"","T1","T2","T3","Control"
"1",100,100,100,307
"2",100,100,100,289
"3",100,100,100,301
"4",100,100,100,310
"5",100,100,100,270
"6",100,100,100,361
"7",100,100,100,276
"8",100,100,100,332
"9",100,100,100,298
"10",100,100,100,320
"11",100,100,100,257
"12",100,100,100,306
"13",100,100,100,318
"14",100,100,100,291
"15",100,100,100,294
"16",100,100,100,329
"17",100,100,100,267
"18",100,100,100,304
"19",100,100,100,305
"20",100,100,100,349
"21",100,100,100,250
"22",100,100,100,264
"23",100,100,100,326
"24",100,100,100,324
"25",100,100,100,323
"26",100,100,100,302
"27",100,100,100,284
"28",100,100,100,310
"29",100,100,100,304
"30",100,100,100,317
"31",100,100,100,313
"32",100,100,100,327
"33",100,100,100,343
"34",100,100,100,325
"35",100,100,100,274
"36",100,100,100,302
"37",100,100,100,278
"38",100,100,100,308
"39",100,100,100,288
"40",100,100,100,320
"41",100,100,100,333
"42",100,100,100,301
"43",100,100,100,314
"44",100,100,100,270
"45",100,100,100,338
"46",100,100,100,284
"47",100,100,100,316
"48",100,100,100,290
"49",100,100,100,278
"50",100,100,100,286
"51",100,100,100,298
"52",100,100,100,302
"53",100,100,100,252
"54",100,100,100,304
"55",100,100,100,337
"56",100,100,100,321
"57",100,100,100,293
"58",100,100,100,354
"59",100,100,100,323
"60",100,100,100,339
"61",100,100,100,326
"62",100,100,100,308
"63",100,100,100,286
"64",100,100,100,321
"65",100,100,100,319
"66",100,100,100,300
"67",100,100,100,300
"68",100,100,100,358
"69",100,100,100,303
"70",100,100,100,358
"71",100,100,100,252
"72",100,100,100,300
"73",100,100,100,297
"74",100,100,100,299
"75",100,100,100,326
"76",100,100,100,312
"77",100,100,100,321
"78",100,100,100,326
"79",100,100,100,328
"80",100,100,100,298
"81",100,100,100,340
"82",90,100,100,294
"83",100,100,100,302
"84",100,100,100,297
"85",100,100,100,275
"86",100,100,100,311
"87",100,100,100,293
"88",100,100,100,339
"89",100,100,100,343
"90",100,100,100,322
"91",100,100,100,300
"92",100,100,100,354
"93",100,100,100,300
"94",100,100,100,304
"95",100,100,100,295
"96",100,100,100,294
"97",100,100,100,310
"98",100,100,100,361
"99",100,100,100,327
"100",100,100,100,328
