"","T1","T2","T3","Control"
"1",100,100,100,329
"2",100,100,100,305
"3",100,100,100,339
"4",100,100,100,334
"5",100,100,100,352
"6",100,100,100,301
"7",100,100,100,300
"8",100,100,100,322
"9",100,100,100,324
"10",100,100,100,344
"11",100,100,100,300
"12",100,100,100,265
"13",100,100,100,274
"14",100,100,100,295
"15",100,100,100,328
"16",100,100,100,314
"17",100,100,100,296
"18",100,100,100,267
"19",100,100,100,319
"20",100,100,100,267
"21",100,100,100,279
"22",100,100,100,311
"23",100,100,100,305
"24",100,100,100,295
"25",100,100,100,305
"26",100,100,100,268
"27",100,100,100,340
"28",100,100,100,300
"29",100,100,100,329
"30",100,100,100,285
"31",100,100,100,288
"32",100,100,100,273
"33",100,100,100,298
"34",100,100,100,305
"35",100,100,100,298
"36",100,100,100,299
"37",100,100,100,274
"38",100,100,100,300
"39",100,100,100,304
"40",100,100,100,328
"41",100,100,100,357
"42",100,100,100,292
"43",100,100,100,331
"44",100,100,100,284
"45",100,100,100,276
"46",100,100,100,313
"47",100,100,100,346
"48",100,100,100,333
"49",100,100,100,365
"50",100,100,100,320
"51",100,100,100,326
"52",100,100,100,300
"53",100,100,100,285
"54",100,100,100,276
"55",100,100,100,306
"56",100,100,100,351
"57",100,100,100,306
"58",100,100,100,301
"59",100,100,100,316
"60",100,100,100,297
"61",100,100,100,303
"62",100,100,100,317
"63",100,100,100,295
"64",100,100,100,314
"65",100,100,100,300
"66",100,100,100,324
"67",100,100,100,314
"68",100,100,100,318
"69",100,100,100,299
"70",100,100,100,354
"71",100,100,100,308
"72",100,100,100,299
"73",100,100,100,290
"74",100,100,100,302
"75",100,100,100,300
"76",100,100,100,292
"77",100,100,100,325
"78",100,100,100,305
"79",100,100,100,330
"80",100,100,100,300
"81",100,100,100,293
"82",100,100,100,335
"83",100,100,100,337
"84",100,100,100,281
"85",100,100,100,325
"86",100,100,100,302
"87",100,100,100,292
"88",100,100,100,315
"89",100,100,100,295
"90",100,100,100,304
"91",100,100,100,298
"92",100,100,100,318
"93",100,100,100,335
"94",100,100,100,294
"95",100,100,100,316
"96",100,100,100,318
"97",100,100,100,302
"98",100,100,100,354
"99",100,100,100,272
"100",100,100,100,247
