"","T1","T2","T3","Control"
"1",100,100,100,386
"2",100,100,100,296
"3",100,100,100,294
"4",100,100,100,298
"5",100,100,100,307
"6",100,100,100,321
"7",100,100,100,331
"8",100,100,100,296
"9",100,100,100,272
"10",100,100,100,234
"11",100,100,100,280
"12",100,100,100,328
"13",100,100,100,305
"14",100,100,100,280
"15",100,100,100,317
"16",100,100,100,363
"17",100,100,100,321
"18",100,100,100,264
"19",100,100,100,288
"20",100,100,100,300
"21",100,100,100,307
"22",100,100,100,313
"23",100,100,100,272
"24",100,100,100,280
"25",100,100,100,325
"26",100,100,100,267
"27",100,100,100,323
"28",100,100,100,287
"29",100,100,100,314
"30",100,100,100,327
"31",100,100,100,328
"32",100,100,100,303
"33",100,100,100,291
"34",100,100,100,301
"35",100,100,100,312
"36",100,100,100,298
"37",100,100,100,268
"38",100,100,100,320
"39",100,100,100,323
"40",100,100,100,304
"41",100,100,100,287
"42",100,100,100,327
"43",100,100,100,302
"44",100,100,100,298
"45",100,100,100,334
"46",100,100,100,332
"47",100,100,100,338
"48",100,100,100,287
"49",100,100,100,304
"50",100,100,100,306
"51",100,100,100,347
"52",100,100,100,294
"53",100,100,100,330
"54",100,100,100,294
"55",100,100,100,299
"56",100,100,100,285
"57",100,100,100,316
"58",100,100,100,399
"59",100,100,100,305
"60",100,100,100,281
"61",100,100,100,267
"62",100,100,100,334
"63",100,100,100,315
"64",100,100,100,299
"65",100,100,100,299
"66",100,100,100,321
"67",100,100,100,318
"68",100,100,100,335
"69",100,100,100,311
"70",100,100,100,303
"71",100,100,100,296
"72",100,100,100,298
"73",100,100,100,323
"74",100,100,100,296
"75",100,100,100,324
"76",100,100,100,315
"77",100,100,100,286
"78",100,100,100,294
"79",100,100,100,314
"80",100,100,100,345
"81",100,100,100,321
"82",100,100,100,312
"83",100,100,100,349
"84",100,100,100,341
"85",100,100,100,328
"86",100,100,100,285
"87",100,100,100,283
"88",100,100,100,310
"89",100,100,100,297
"90",100,100,100,301
"91",100,100,100,304
"92",100,100,100,286
"93",100,100,100,303
"94",100,100,100,325
"95",100,100,100,306
"96",100,100,100,284
"97",100,100,100,297
"98",100,100,100,317
"99",100,100,100,294
"100",100,100,100,285
