"","T1","T2","T3"
"1",29,24,33
"2",34,30,38
"3",27,24,33
"4",31,25,32
"5",31,22,33
"6",28,21,33
"7",32,23,37
"8",30,23,33
"9",29,25,31
"10",24,20,26
"11",28,24,31
"12",31,27,35
"13",36,38,41
"14",35,25,37
"15",34,31,35
"16",24,23,26
"17",30,22,32
"18",29,23,31
"19",26,20,28
"20",25,22,29
"21",25,21,28
"22",32,25,36
"23",28,24,31
"24",29,27,30
"25",37,30,38
"26",29,28,33
"27",27,24,29
"28",28,23,31
"29",31,23,32
"30",32,25,33
"31",33,25,32
"32",35,26,32
"33",29,24,30
"34",23,21,26
"35",33,25,33
"36",31,28,32
"37",30,25,31
"38",31,26,31
"39",27,24,29
"40",32,27,33
"41",30,24,31
"42",34,26,34
"43",26,22,29
"44",34,27,36
"45",30,22,32
"46",30,22,34
"47",31,27,33
"48",29,24,31
"49",33,26,36
"50",32,28,39
"51",27,22,29
"52",29,26,28
"53",34,24,39
"54",30,25,35
"55",36,27,36
"56",29,27,30
"57",30,32,34
"58",35,29,34
"59",27,24,31
"60",28,25,30
"61",32,26,36
"62",25,24,29
"63",26,22,27
"64",28,24,30
"65",28,25,34
"66",32,23,34
"67",36,30,37
"68",32,27,36
"69",26,22,32
"70",28,24,30
"71",27,25,29
"72",29,27,33
"73",27,27,31
"74",41,27,45
"75",32,26,35
"76",32,25,37
"77",31,25,34
"78",36,31,36
"79",29,26,30
"80",38,29,39
"81",30,25,31
"82",35,27,37
"83",25,24,31
"84",32,32,35
"85",38,31,38
"86",28,26,31
"87",33,26,35
"88",33,32,37
"89",30,29,36
"90",26,23,28
"91",28,22,32
"92",28,21,30
"93",33,25,34
"94",29,23,27
"95",31,27,34
"96",26,20,30
"97",31,27,33
"98",32,23,36
"99",29,24,30
"100",32,26,32
