"","T1","T2","T3"
"1",17,45,36
"2",16,38,27
"3",13,49,52
"4",17,42,30
"5",17,50,41
"6",16,42,36
"7",15,44,45
"8",16,36,30
"9",17,54,52
"10",15,42,40
"11",16,43,35
"12",16,41,28
"13",16,39,29
"14",15,48,31
"15",18,47,34
"16",17,39,36
"17",17,44,30
"18",17,37,29
"19",15,38,26
"20",16,46,50
"21",15,43,44
"22",16,42,28
"23",16,40,35
"24",14,40,30
"25",16,46,39
"26",15,46,28
"27",23,55,55
"28",16,39,32
"29",18,44,42
"30",20,47,38
"31",13,41,34
"32",16,44,37
"33",19,36,34
"34",17,51,36
"35",18,53,54
"36",13,35,27
"37",18,44,36
"38",13,52,30
"39",16,38,36
"40",16,50,40
"41",17,59,72
"42",15,33,32
"43",17,37,38
"44",13,34,30
"45",15,29,26
"46",17,61,45
"47",15,48,41
"48",19,54,36
"49",17,39,41
"50",19,36,38
"51",14,47,27
"52",14,41,23
"53",15,38,29
"54",13,32,23
"55",16,39,33
"56",15,48,53
"57",17,41,33
"58",19,48,40
"59",17,46,38
"60",18,36,34
"61",16,43,40
"62",19,77,63
"63",14,38,25
"64",15,58,49
"65",16,47,43
"66",15,37,29
"67",19,38,33
"68",23,50,52
"69",14,36,37
"70",22,81,84
"71",16,41,35
"72",20,56,52
"73",17,38,33
"74",14,48,32
"75",20,45,47
"76",20,44,43
"77",20,36,37
"78",16,44,32
"79",16,43,34
"80",18,38,29
"81",14,38,39
"82",15,43,36
"83",21,47,47
"84",17,36,34
"85",16,55,48
"86",13,51,41
"87",17,39,32
"88",18,41,34
"89",17,37,31
"90",16,38,30
"91",18,58,53
"92",12,38,24
"93",16,37,44
"94",17,41,33
"95",16,45,25
"96",16,39,37
"97",17,60,53
"98",16,40,46
"99",15,35,31
"100",15,31,23
