"","T1","T2","T3","Control"
"1",100,100,100,319
"2",100,100,100,264
"3",100,100,100,340
"4",100,100,100,333
"5",100,100,100,276
"6",100,100,100,319
"7",100,100,100,302
"8",100,100,100,355
"9",100,100,100,274
"10",100,100,100,288
"11",100,100,100,317
"12",100,100,100,314
"13",100,100,100,308
"14",100,100,100,348
"15",100,100,100,312
"16",100,100,100,312
"17",100,100,100,343
"18",100,100,100,340
"19",100,100,100,289
"20",100,100,100,307
"21",100,100,100,291
"22",100,100,100,308
"23",100,100,100,310
"24",100,100,100,291
"25",100,100,100,298
"26",100,100,100,288
"27",100,100,100,273
"28",100,100,100,339
"29",100,100,100,312
"30",100,100,100,299
"31",100,100,100,298
"32",100,100,100,311
"33",100,100,100,297
"34",100,100,100,288
"35",100,100,100,284
"36",100,100,100,309
"37",100,100,100,317
"38",100,100,100,330
"39",100,100,100,357
"40",100,100,100,290
"41",100,100,100,314
"42",100,100,100,328
"43",100,100,100,310
"44",100,100,100,310
"45",100,100,100,336
"46",100,100,100,315
"47",100,100,100,295
"48",100,100,100,336
"49",100,100,100,319
"50",100,100,100,296
"51",100,100,100,313
"52",100,100,100,311
"53",100,100,100,299
"54",100,100,100,295
"55",100,100,100,317
"56",100,100,100,277
"57",100,100,100,287
"58",100,100,100,324
"59",100,100,100,291
"60",100,100,100,325
"61",100,100,100,319
"62",100,100,100,302
"63",100,100,100,264
"64",100,100,100,336
"65",100,100,100,287
"66",100,100,100,294
"67",100,100,100,297
"68",100,100,100,276
"69",100,100,100,266
"70",100,100,100,299
"71",100,100,100,332
"72",100,100,100,320
"73",100,100,100,287
"74",100,100,100,257
"75",100,100,100,297
"76",100,100,100,346
"77",100,100,100,277
"78",100,100,100,330
"79",100,100,100,299
"80",100,100,100,339
"81",100,100,100,279
"82",100,100,100,280
"83",100,100,100,269
"84",100,100,100,311
"85",100,100,100,323
"86",100,100,100,291
"87",100,100,100,310
"88",100,100,100,299
"89",100,100,100,291
"90",100,100,100,337
"91",100,100,100,308
"92",100,100,100,273
"93",100,100,100,298
"94",100,100,100,296
"95",100,100,100,250
"96",100,100,100,311
"97",100,100,100,332
"98",100,100,100,290
"99",100,100,100,266
"100",100,100,100,302
