"","T1","T2","T3","Control"
"1",100,100,100,320
"2",100,100,100,292
"3",100,100,100,286
"4",100,100,100,328
"5",100,100,100,295
"6",100,100,100,337
"7",100,100,100,305
"8",100,100,100,326
"9",100,100,100,273
"10",100,100,100,265
"11",100,100,100,303
"12",100,100,100,281
"13",100,100,100,274
"14",100,100,100,304
"15",100,100,100,297
"16",100,100,100,275
"17",100,100,100,274
"18",100,100,100,298
"19",100,100,100,244
"20",100,100,100,290
"21",100,100,100,308
"22",100,100,100,320
"23",100,100,100,341
"24",100,100,100,314
"25",100,100,100,320
"26",100,100,100,270
"27",100,100,100,294
"28",100,100,100,332
"29",100,100,100,316
"30",100,100,100,316
"31",100,100,100,345
"32",100,100,100,318
"33",100,100,100,318
"34",100,100,100,323
"35",100,100,100,288
"36",100,100,100,307
"37",100,100,100,341
"38",100,100,100,296
"39",100,100,100,362
"40",100,100,100,360
"41",100,100,100,288
"42",100,100,100,351
"43",100,100,100,314
"44",100,100,100,312
"45",100,100,100,356
"46",100,100,100,326
"47",100,100,100,326
"48",100,100,100,334
"49",100,100,100,298
"50",100,100,100,290
"51",100,100,100,292
"52",100,100,100,306
"53",100,100,100,302
"54",100,100,100,302
"55",100,100,100,280
"56",100,100,100,351
"57",100,100,100,327
"58",100,100,100,334
"59",100,100,100,314
"60",100,100,100,301
"61",100,100,100,283
"62",100,100,100,315
"63",100,100,100,291
"64",100,100,100,279
"65",100,100,100,242
"66",100,100,100,310
"67",100,100,100,295
"68",100,100,100,351
"69",100,100,100,336
"70",100,100,100,290
"71",100,100,100,300
"72",100,100,100,326
"73",100,100,100,346
"74",100,100,100,307
"75",100,100,100,293
"76",100,100,100,289
"77",100,100,100,313
"78",100,100,100,262
"79",100,100,100,299
"80",100,100,100,327
"81",100,100,100,286
"82",100,100,100,318
"83",100,100,100,328
"84",100,100,100,317
"85",100,100,100,283
"86",100,100,100,295
"87",100,100,100,306
"88",100,100,100,293
"89",100,100,100,319
"90",100,100,100,296
"91",100,100,100,304
"92",100,100,100,325
"93",100,100,100,293
"94",100,100,100,305
"95",100,100,100,305
"96",100,100,100,322
"97",100,100,100,290
"98",100,100,100,319
"99",100,100,100,322
"100",100,100,100,280
