"","T1","T2","T3"
"1",26,19,21
"2",34,20,26
"3",27,21,23
"4",32,24,26
"5",33,23,28
"6",NA,30,31
"7",33,24,26
"8",37,29,30
"9",33,26,25
"10",28,19,23
"11",29,20,22
"12",33,23,28
"13",31,23,24
"14",30,23,26
"15",30,23,22
"16",34,25,28
"17",33,24,27
"18",31,22,25
"19",31,22,24
"20",34,26,25
"21",33,25,28
"22",31,24,25
"23",31,20,24
"24",28,21,22
"25",32,22,27
"26",33,24,26
"27",30,24,25
"28",33,25,26
"29",28,20,22
"30",33,23,27
"31",30,21,23
"32",29,21,23
"33",31,20,26
"34",30,23,22
"35",37,26,24
"36",31,21,24
"37",30,23,25
"38",33,24,25
"39",31,22,23
"40",36,22,29
"41",32,21,27
"42",35,25,27
"43",31,24,21
"44",33,24,25
"45",32,26,27
"46",31,23,25
"47",32,22,25
"48",33,19,25
"49",32,25,26
"50",34,24,27
"51",27,18,21
"52",37,25,29
"53",28,20,24
"54",31,23,25
"55",38,27,29
"56",37,25,30
"57",31,21,24
"58",34,24,26
"59",36,25,27
"60",36,28,29
"61",33,21,26
"62",37,24,24
"63",37,29,28
"64",31,26,25
"65",31,22,23
"66",39,28,30
"67",37,27,29
"68",29,24,24
"69",35,25,26
"70",31,20,24
"71",32,25,25
"72",30,23,24
"73",29,20,21
"74",29,21,24
"75",34,27,28
"76",31,23,26
"77",39,26,29
"78",28,20,22
"79",29,22,23
"80",36,25,24
"81",40,29,32
"82",27,22,24
"83",33,24,23
"84",31,23,27
"85",32,21,24
"86",29,20,22
"87",31,24,24
"88",32,21,24
"89",32,25,28
"90",33,22,26
"91",30,20,22
"92",36,28,28
"93",30,20,22
"94",28,22,23
"95",34,25,28
"96",35,24,26
"97",38,25,28
"98",28,18,22
"99",34,26,25
"100",33,24,25
