"","T1","T2","T3","Control"
"1",100,100,100,308
"2",100,100,100,295
"3",100,100,100,287
"4",100,100,100,349
"5",100,100,100,235
"6",100,100,100,314
"7",100,100,100,374
"8",100,100,100,319
"9",100,100,100,298
"10",100,100,100,312
"11",100,100,100,313
"12",100,100,100,310
"13",100,100,100,293
"14",100,100,100,329
"15",100,100,100,306
"16",100,100,100,304
"17",100,100,100,362
"18",100,100,100,304
"19",100,100,100,325
"20",100,100,100,304
"21",100,100,100,285
"22",100,100,100,303
"23",100,100,100,307
"24",100,100,100,334
"25",100,100,100,329
"26",100,100,100,312
"27",100,100,100,292
"28",100,100,100,313
"29",100,100,100,331
"30",100,100,100,348
"31",100,100,100,302
"32",100,100,100,332
"33",100,100,100,333
"34",100,100,100,304
"35",100,100,100,286
"36",100,100,100,354
"37",100,100,100,330
"38",100,100,100,289
"39",100,100,100,322
"40",100,100,100,314
"41",100,100,100,348
"42",100,100,100,302
"43",100,100,100,304
"44",100,100,100,294
"45",100,100,100,305
"46",100,100,100,283
"47",100,100,100,266
"48",100,100,100,314
"49",100,100,100,311
"50",100,100,100,287
"51",100,100,100,299
"52",100,100,100,256
"53",100,100,100,275
"54",100,100,100,329
"55",100,100,100,292
"56",100,100,100,333
"57",100,100,100,321
"58",100,100,100,328
"59",100,100,100,298
"60",100,100,100,334
"61",100,100,100,314
"62",100,100,100,298
"63",100,100,100,349
"64",100,100,100,334
"65",100,100,100,325
"66",100,100,100,289
"67",100,100,100,291
"68",100,100,100,316
"69",100,100,100,319
"70",100,100,100,326
"71",100,100,100,299
"72",100,100,100,347
"73",100,100,100,287
"74",100,100,100,378
"75",100,100,100,252
"76",100,100,100,266
"77",100,100,100,316
"78",100,100,100,300
"79",100,100,100,305
"80",100,100,100,296
"81",100,100,100,301
"82",100,100,100,298
"83",100,100,100,301
"84",100,100,100,334
"85",100,100,100,304
"86",100,100,100,359
"87",100,100,100,271
"88",100,100,100,318
"89",100,100,100,314
"90",100,100,100,313
"91",100,100,100,331
"92",100,100,100,323
"93",100,100,100,332
"94",100,100,100,322
"95",100,100,100,337
"96",100,100,100,277
"97",100,100,100,300
"98",100,100,100,302
"99",100,100,100,338
"100",100,100,100,332
