"","T1","T2","T3"
"1",15,36,28
"2",20,49,50
"3",23,48,40
"4",18,44,48
"5",16,39,29
"6",16,38,35
"7",15,39,31
"8",14,39,26
"9",15,54,35
"10",18,38,33
"11",15,43,31
"12",16,36,25
"13",18,35,38
"14",15,39,42
"15",13,40,28
"16",15,39,36
"17",19,52,50
"18",18,43,37
"19",18,45,36
"20",14,38,27
"21",17,36,37
"22",15,44,34
"23",13,31,21
"24",17,39,32
"25",17,34,25
"26",17,48,47
"27",15,44,33
"28",20,68,44
"29",15,45,35
"30",19,50,44
"31",14,34,32
"32",15,54,56
"33",16,43,40
"34",14,49,28
"35",19,43,46
"36",16,42,35
"37",15,43,45
"38",20,53,49
"39",16,31,34
"40",13,39,41
"41",16,33,25
"42",14,39,31
"43",16,40,28
"44",17,55,59
"45",15,39,31
"46",17,39,31
"47",15,38,36
"48",17,48,31
"49",18,39,42
"50",16,41,31
"51",22,54,58
"52",14,44,28
"53",18,64,52
"54",17,50,38
"55",13,38,32
"56",19,42,38
"57",15,44,37
"58",14,36,30
"59",15,41,34
"60",14,45,34
"61",15,56,33
"62",14,44,30
"63",13,37,25
"64",16,36,33
"65",14,52,30
"66",23,41,50
"67",16,51,35
"68",15,33,28
"69",14,41,43
"70",17,51,48
"71",17,35,36
"72",13,35,24
"73",14,40,29
"74",17,45,34
"75",20,46,55
"76",15,29,26
"77",17,40,41
"78",18,41,36
"79",17,34,33
"80",20,48,40
"81",15,42,49
"82",15,32,25
"83",13,39,35
"84",14,38,25
"85",12,43,34
"86",17,36,30
"87",15,45,45
"88",15,47,34
"89",14,46,34
"90",21,47,52
"91",18,38,39
"92",16,34,24
"93",21,58,46
"94",16,34,35
"95",17,41,32
"96",15,39,31
"97",15,41,31
"98",16,51,37
"99",14,39,32
"100",15,35,31
