"","T1","T2","T3","Control"
"1",100,100,100,289
"2",100,100,100,274
"3",100,100,100,318
"4",100,100,100,270
"5",100,100,100,307
"6",100,100,100,318
"7",100,100,100,296
"8",100,100,100,312
"9",100,100,100,269
"10",100,100,100,282
"11",100,100,100,312
"12",100,100,100,322
"13",100,100,100,285
"14",100,100,100,287
"15",100,100,100,316
"16",100,100,100,266
"17",100,100,100,313
"18",100,100,100,349
"19",100,100,100,341
"20",100,100,100,301
"21",100,100,100,355
"22",100,100,100,318
"23",100,100,100,291
"24",100,100,100,343
"25",100,100,100,329
"26",100,100,100,328
"27",100,100,100,280
"28",100,100,100,279
"29",100,100,100,314
"30",100,100,100,289
"31",100,100,100,250
"32",100,100,100,331
"33",100,100,100,316
"34",100,100,100,310
"35",100,100,100,329
"36",100,100,100,306
"37",100,100,100,318
"38",100,100,100,298
"39",100,100,100,321
"40",100,100,100,309
"41",100,100,100,302
"42",100,100,100,289
"43",100,100,100,359
"44",100,100,100,308
"45",100,100,100,341
"46",100,100,100,310
"47",100,100,100,309
"48",100,100,100,341
"49",100,100,100,263
"50",100,100,100,325
"51",100,100,100,268
"52",100,100,100,319
"53",100,100,100,285
"54",100,100,100,323
"55",100,100,100,322
"56",100,100,100,292
"57",100,100,100,331
"58",100,100,100,279
"59",100,100,100,344
"60",100,100,100,319
"61",100,100,100,292
"62",100,100,100,299
"63",100,100,100,318
"64",100,100,100,329
"65",100,100,100,303
"66",100,100,100,330
"67",100,100,100,300
"68",100,100,100,318
"69",100,100,100,293
"70",100,100,100,316
"71",100,100,100,294
"72",100,100,100,265
"73",100,100,100,316
"74",100,100,100,305
"75",100,100,100,279
"76",100,100,100,333
"77",100,100,100,330
"78",100,100,100,307
"79",100,100,100,329
"80",100,100,100,314
"81",100,100,100,283
"82",100,100,100,275
"83",100,100,100,309
"84",100,100,100,303
"85",100,100,100,340
"86",100,100,100,320
"87",100,100,100,266
"88",100,100,100,288
"89",100,100,100,318
"90",100,100,100,289
"91",100,100,100,288
"92",100,100,100,286
"93",100,100,100,301
"94",100,100,100,325
"95",100,100,100,332
"96",100,100,100,305
"97",100,100,100,314
"98",100,100,100,307
"99",100,100,100,323
"100",100,100,100,293
