"","T1","T2","T3"
"1",19,29,32
"2",22,32,35
"3",19,27,30
"4",21,28,32
"5",18,30,28
"6",18,28,30
"7",20,26,32
"8",18,29,30
"9",16,33,34
"10",23,35,35
"11",21,32,34
"12",18,24,28
"13",23,38,40
"14",21,28,34
"15",20,28,31
"16",19,27,30
"17",20,35,34
"18",16,27,29
"19",20,27,30
"20",16,34,31
"21",16,25,26
"22",19,36,34
"23",21,33,37
"24",17,28,32
"25",19,31,32
"26",18,30,30
"27",18,32,34
"28",20,30,35
"29",24,40,41
"30",19,35,33
"31",23,34,37
"32",18,32,31
"33",19,31,30
"34",17,33,34
"35",19,33,31
"36",24,31,36
"37",19,29,31
"38",20,34,32
"39",20,31,43
"40",19,33,33
"41",23,33,38
"42",16,26,27
"43",18,27,30
"44",20,34,32
"45",18,26,28
"46",17,28,30
"47",18,24,27
"48",20,30,31
"49",19,30,30
"50",16,29,30
"51",19,31,31
"52",18,34,36
"53",21,34,33
"54",24,32,35
"55",17,33,35
"56",20,29,31
"57",21,32,31
"58",21,34,34
"59",19,34,36
"60",23,36,39
"61",20,27,28
"62",25,33,38
"63",15,26,23
"64",21,31,35
"65",23,30,36
"66",21,33,38
"67",16,30,31
"68",18,33,34
"69",20,31,34
"70",19,30,31
"71",22,36,38
"72",19,30,33
"73",22,34,34
"74",18,31,27
"75",18,29,30
"76",21,31,33
"77",20,31,33
"78",18,24,26
"79",20,36,37
"80",20,36,34
"81",18,29,30
"82",21,28,34
"83",21,35,34
"84",19,33,33
"85",21,37,33
"86",23,34,35
"87",19,37,31
"88",20,34,38
"89",22,39,38
"90",17,27,29
"91",17,32,30
"92",15,27,27
"93",23,30,34
"94",16,25,32
"95",18,30,32
"96",19,34,34
"97",16,27,26
"98",17,36,34
"99",20,31,30
"100",23,30,32
