"","T1","T2","T3"
"1",14,42,25
"2",13,32,20
"3",15,39,22
"4",15,43,26
"5",14,33,20
"6",16,39,25
"7",15,42,25
"8",15,42,22
"9",17,45,26
"10",16,36,23
"11",14,37,23
"12",16,48,24
"13",17,38,24
"14",16,61,27
"15",13,31,20
"16",13,32,20
"17",16,60,24
"18",14,48,21
"19",15,49,23
"20",12,37,22
"21",13,29,19
"22",13,34,23
"23",15,45,27
"24",13,38,22
"25",16,31,22
"26",16,39,23
"27",13,35,21
"28",14,45,24
"29",13,39,22
"30",17,46,26
"31",16,43,26
"32",17,51,29
"33",16,40,23
"34",17,38,25
"35",18,38,25
"36",16,62,27
"37",15,43,22
"38",13,37,21
"39",16,41,25
"40",15,48,27
"41",17,63,26
"42",11,43,22
"43",17,50,23
"44",16,35,23
"45",12,36,22
"46",14,35,23
"47",11,30,20
"48",14,36,23
"49",14,38,24
"50",15,41,23
"51",15,47,26
"52",13,50,21
"53",14,38,24
"54",16,45,26
"55",18,39,26
"56",14,43,25
"57",18,50,30
"58",16,52,29
"59",13,37,20
"60",18,37,28
"61",15,50,22
"62",14,43,26
"63",14,38,23
"64",15,51,28
"65",13,36,19
"66",17,38,23
"67",15,41,25
"68",16,42,23
"69",17,41,26
"70",17,46,26
"71",15,44,24
"72",15,44,27
"73",14,37,25
"74",14,41,22
"75",15,39,22
"76",17,41,28
"77",14,41,23
"78",14,37,22
"79",11,39,19
"80",18,53,25
"81",17,40,22
"82",14,38,20
"83",12,33,20
"84",15,51,26
"85",14,40,23
"86",14,39,24
"87",14,36,19
"88",13,44,24
"89",16,72,31
"90",14,47,24
"91",15,45,22
"92",17,37,25
"93",17,46,24
"94",14,48,24
"95",16,55,25
"96",14,39,22
"97",15,37,24
"98",16,34,23
"99",17,59,29
"100",14,41,23
