"","T1","T2","T3"
"1",27,21,28
"2",30,24,29
"3",33,25,33
"4",32,28,34
"5",31,23,33
"6",31,25,30
"7",30,29,33
"8",33,23,37
"9",31,24,30
"10",25,21,29
"11",28,22,30
"12",34,25,35
"13",29,23,32
"14",30,24,31
"15",31,27,35
"16",30,24,31
"17",28,24,30
"18",32,26,36
"19",34,26,38
"20",30,24,33
"21",40,30,40
"22",28,21,33
"23",30,24,34
"24",31,23,34
"25",29,26,33
"26",33,31,38
"27",32,23,33
"28",30,21,31
"29",29,22,33
"30",26,20,28
"31",25,20,24
"32",30,28,31
"33",27,23,31
"34",32,23,32
"35",25,21,26
"36",31,23,31
"37",31,25,34
"38",25,21,29
"39",27,23,30
"40",31,26,36
"41",28,29,31
"42",26,22,29
"43",39,25,38
"44",30,25,32
"45",36,27,40
"46",35,29,36
"47",25,20,26
"48",35,30,37
"49",30,23,29
"50",29,26,32
"51",28,25,30
"52",31,26,32
"53",30,30,35
"54",28,23,29
"55",34,25,36
"56",28,25,31
"57",30,22,34
"58",29,23,31
"59",34,30,38
"60",32,25,33
"61",30,25,31
"62",29,19,30
"63",28,24,30
"64",36,25,39
"65",38,33,39
"66",33,30,32
"67",27,22,28
"68",32,27,35
"69",30,27,32
"70",25,20,28
"71",34,26,35
"72",32,27,32
"73",29,24,32
"74",33,30,35
"75",32,26,32
"76",33,26,33
"77",32,26,33
"78",29,23,28
"79",31,24,33
"80",33,28,34
"81",31,26,32
"82",35,29,38
"83",31,24,30
"84",26,25,30
"85",30,21,33
"86",31,25,32
"87",32,29,35
"88",27,24,29
"89",36,29,39
"90",28,22,30
"91",30,26,34
"92",31,23,31
"93",31,26,32
"94",28,20,27
"95",38,32,37
"96",29,21,32
"97",34,32,36
"98",30,26,31
"99",30,28,34
"100",35,30,37
