"","T1","T2","T3"
"1",53,34,43
"2",43,36,35
"3",37,22,29
"4",31,26,28
"5",37,24,35
"6",34,22,33
"7",35,23,29
"8",39,27,34
"9",41,21,31
"10",38,28,37
"11",30,22,27
"12",41,28,36
"13",35,27,41
"14",34,25,34
"15",45,33,42
"16",37,23,34
"17",36,23,29
"18",36,29,37
"19",51,27,41
"20",38,25,36
"21",41,28,35
"22",41,22,35
"23",36,23,30
"24",57,33,40
"25",38,22,30
"26",38,26,37
"27",40,27,39
"28",35,27,31
"29",30,25,27
"30",43,26,34
"31",45,26,40
"32",51,26,37
"33",38,25,36
"34",33,26,34
"35",31,20,29
"36",36,26,30
"37",33,27,37
"38",45,27,38
"39",42,24,38
"40",39,23,32
"41",38,28,32
"42",44,26,35
"43",32,21,30
"44",38,32,35
"45",45,32,42
"46",34,25,31
"47",40,31,37
"48",38,27,34
"49",45,24,35
"50",34,25,28
"51",51,34,40
"52",43,28,38
"53",49,39,43
"54",40,25,35
"55",31,20,25
"56",30,22,28
"57",36,24,33
"58",43,31,43
"59",31,20,27
"60",43,23,38
"61",45,25,36
"62",37,25,32
"63",49,20,37
"64",38,28,32
"65",44,30,39
"66",36,25,33
"67",53,29,33
"68",44,25,40
"69",43,26,35
"70",39,31,35
"71",52,26,38
"72",29,23,28
"73",45,29,39
"74",47,32,46
"75",33,20,31
"76",33,23,31
"77",32,21,26
"78",42,23,33
"79",35,25,29
"80",44,34,40
"81",45,35,36
"82",36,20,26
"83",39,26,37
"84",36,26,33
"85",38,27,34
"86",57,39,54
"87",41,27,34
"88",38,25,37
"89",47,32,39
"90",63,39,49
"91",46,28,37
"92",32,24,30
"93",53,31,46
"94",39,25,33
"95",33,24,30
"96",34,25,31
"97",41,29,38
"98",51,29,41
"99",45,28,41
"100",44,30,35
