"","T1","T2","T3"
"1",36,28,32
"2",32,21,29
"3",32,22,25
"4",31,23,28
"5",32,23,29
"6",30,22,28
"7",37,26,33
"8",34,21,29
"9",33,28,30
"10",32,24,29
"11",32,23,29
"12",33,25,27
"13",28,22,24
"14",41,32,37
"15",33,25,28
"16",33,23,30
"17",28,20,25
"18",25,22,22
"19",28,21,26
"20",28,22,25
"21",36,29,33
"22",29,24,25
"23",40,32,33
"24",36,24,31
"25",41,28,32
"26",27,21,23
"27",28,22,23
"28",37,26,30
"29",35,25,30
"30",35,27,35
"31",34,28,29
"32",29,23,27
"33",37,29,33
"34",33,23,29
"35",31,21,27
"36",35,28,32
"37",33,25,29
"38",31,22,28
"39",36,31,32
"40",30,23,28
"41",36,24,30
"42",44,29,47
"43",31,23,28
"44",28,23,25
"45",36,22,31
"46",33,24,32
"47",36,26,31
"48",32,25,28
"49",35,26,32
"50",33,30,30
"51",35,24,31
"52",33,25,30
"53",31,22,29
"54",33,26,30
"55",32,24,29
"56",32,24,27
"57",33,25,29
"58",34,24,29
"59",35,28,32
"60",38,28,35
"61",31,22,27
"62",35,23,31
"63",28,21,24
"64",32,25,29
"65",26,20,23
"66",27,21,26
"67",28,21,26
"68",34,26,32
"69",36,26,33
"70",37,27,33
"71",35,25,29
"72",31,25,24
"73",38,30,32
"74",31,24,29
"75",32,25,28
"76",27,19,26
"77",32,26,31
"78",26,20,22
"79",35,27,31
"80",38,26,35
"81",32,24,28
"82",36,23,34
"83",40,27,33
"84",31,21,26
"85",28,23,26
"86",30,19,26
"87",41,27,35
"88",33,28,33
"89",36,28,34
"90",31,25,27
"91",37,26,30
"92",32,21,28
"93",35,29,30
"94",33,25,32
"95",31,26,27
"96",36,24,31
"97",30,21,27
"98",33,23,29
"99",33,26,29
"100",29,23,25
