"","T1","T2","T3"
"1",23,22,35
"2",25,26,36
"3",20,19,28
"4",27,25,38
"5",30,26,38
"6",28,27,36
"7",29,28,39
"8",27,22,36
"9",21,20,30
"10",21,19,28
"11",23,20,31
"12",18,16,25
"13",24,22,31
"14",25,23,35
"15",24,23,32
"16",25,22,38
"17",21,17,33
"18",22,20,28
"19",28,25,37
"20",25,22,32
"21",21,20,27
"22",20,21,27
"23",24,20,32
"24",22,18,31
"25",28,24,37
"26",26,22,38
"27",21,20,28
"28",22,19,29
"29",26,22,33
"30",24,22,31
"31",20,18,29
"32",21,20,29
"33",23,24,34
"34",22,22,29
"35",22,20,28
"36",22,21,29
"37",21,18,29
"38",24,22,32
"39",22,20,30
"40",25,23,33
"41",26,26,35
"42",23,21,31
"43",24,22,33
"44",25,20,31
"45",22,19,28
"46",24,21,32
"47",23,19,33
"48",25,21,36
"49",26,24,35
"50",29,22,38
"51",21,19,31
"52",28,25,36
"53",21,18,30
"54",31,29,41
"55",25,22,34
"56",25,21,33
"57",22,21,33
"58",30,28,39
"59",21,20,29
"60",26,23,32
"61",21,18,31
"62",23,19,32
"63",23,21,32
"64",25,23,35
"65",25,23,32
"66",25,23,34
"67",25,23,38
"68",25,22,31
"69",25,25,37
"70",19,18,27
"71",26,21,36
"72",20,18,27
"73",21,18,29
"74",27,23,36
"75",22,22,30
"76",25,24,37
"77",26,23,33
"78",22,21,31
"79",27,25,37
"80",25,22,34
"81",23,22,32
"82",26,22,37
"83",26,24,35
"84",25,21,41
"85",23,20,32
"86",24,22,32
"87",24,22,33
"88",24,22,34
"89",26,22,34
"90",21,18,28
"91",23,23,31
"92",27,22,35
"93",24,21,32
"94",24,23,34
"95",21,22,29
"96",23,19,30
"97",26,22,39
"98",23,23,36
"99",24,21,32
"100",24,21,31
