"","T1","T2","T3"
"1",NA,35,NA
"2",NA,29,33
"3",NA,32,NA
"4",39,33,40
"5",NA,33,NA
"6",NA,29,NA
"7",NA,27,NA
"8",NA,26,39
"9",NA,31,NA
"10",NA,25,37
"11",39,25,34
"12",38,20,31
"13",NA,25,33
"14",NA,30,NA
"15",NA,31,36
"16",37,27,30
"17",NA,25,NA
"18",NA,26,39
"19",40,24,36
"20",NA,31,38
"21",NA,27,NA
"22",NA,26,NA
"23",NA,25,33
"24",34,23,30
"25",38,25,34
"26",34,26,29
"27",NA,28,37
"28",NA,30,NA
"29",NA,25,NA
"30",35,21,32
"31",NA,28,37
"32",NA,40,NA
"33",38,25,33
"34",NA,35,NA
"35",39,28,34
"36",NA,26,NA
"37",39,27,34
"38",39,27,38
"39",NA,26,34
"40",NA,33,39
"41",40,23,30
"42",NA,27,NA
"43",34,22,30
"44",NA,23,38
"45",38,20,32
"46",39,24,37
"47",39,24,34
"48",31,22,29
"49",NA,34,NA
"50",NA,30,NA
"51",30,19,28
"52",40,29,39
"53",35,25,32
"54",NA,28,39
"55",NA,33,39
"56",25,19,29
"57",35,26,34
"58",NA,32,37
"59",NA,25,39
"60",40,28,32
"61",35,23,33
"62",NA,24,NA
"63",40,21,33
"64",37,25,31
"65",35,28,30
"66",35,28,33
"67",33,22,29
"68",NA,31,37
"69",30,21,24
"70",NA,28,NA
"71",NA,33,NA
"72",37,23,33
"73",37,30,36
"74",NA,33,NA
"75",38,21,36
"76",38,23,31
"77",37,22,35
"78",NA,28,NA
"79",NA,27,NA
"80",40,28,38
"81",NA,21,34
"82",35,25,33
"83",37,25,33
"84",36,29,30
"85",NA,28,NA
"86",NA,29,36
"87",NA,29,NA
"88",NA,34,NA
"89",NA,25,NA
"90",36,21,33
"91",36,27,30
"92",37,24,33
"93",35,20,30
"94",36,24,32
"95",40,26,38
"96",NA,29,NA
"97",40,30,33
"98",36,22,33
"99",36,24,31
"100",31,25,29
