"","T1","T2","T3"
"1",19,34,42
"2",16,29,27
"3",19,28,32
"4",18,29,31
"5",19,27,27
"6",20,30,35
"7",18,36,35
"8",17,33,32
"9",17,31,29
"10",16,28,28
"11",17,30,26
"12",20,27,31
"13",18,31,31
"14",17,27,26
"15",24,37,40
"16",22,37,37
"17",18,25,28
"18",21,29,33
"19",24,38,38
"20",26,42,43
"21",20,28,31
"22",19,30,31
"23",20,25,31
"24",20,24,29
"25",20,35,35
"26",21,29,32
"27",24,37,37
"28",20,29,32
"29",17,32,33
"30",22,36,36
"31",20,41,35
"32",17,28,28
"33",17,30,30
"34",17,26,31
"35",21,34,32
"36",19,30,38
"37",18,31,28
"38",19,32,31
"39",17,28,29
"40",19,34,32
"41",15,27,28
"42",21,32,30
"43",18,34,35
"44",20,34,37
"45",19,32,33
"46",17,28,29
"47",18,33,30
"48",22,32,31
"49",17,29,29
"50",20,31,30
"51",20,31,35
"52",16,27,28
"53",18,29,31
"54",20,29,33
"55",18,32,30
"56",23,31,38
"57",18,33,35
"58",20,33,36
"59",19,27,29
"60",19,31,30
"61",15,23,25
"62",22,33,40
"63",22,34,36
"64",19,31,30
"65",19,30,30
"66",21,33,37
"67",16,29,33
"68",24,36,39
"69",16,25,28
"70",18,29,32
"71",19,35,35
"72",21,29,32
"73",22,36,36
"74",19,31,33
"75",24,38,38
"76",17,33,36
"77",15,26,27
"78",17,30,32
"79",21,30,35
"80",20,28,32
"81",21,36,38
"82",19,34,31
"83",21,43,41
"84",22,33,32
"85",21,33,35
"86",17,26,29
"87",19,26,30
"88",16,32,31
"89",14,27,24
"90",19,38,34
"91",22,31,33
"92",18,25,27
"93",19,31,30
"94",17,33,32
"95",19,29,30
"96",19,26,31
"97",18,31,29
"98",20,28,33
"99",18,28,29
"100",15,29,27
