"","T1","T2","T3","Control"
"1",100,100,100,305
"2",100,100,100,293
"3",100,100,100,314
"4",100,100,100,325
"5",100,100,100,301
"6",100,100,100,309
"7",100,100,100,336
"8",100,100,100,309
"9",100,100,100,295
"10",100,100,100,258
"11",100,100,100,342
"12",100,100,100,284
"13",100,100,100,298
"14",100,100,100,317
"15",100,100,100,288
"16",100,100,100,281
"17",100,100,100,331
"18",100,100,100,294
"19",100,100,100,347
"20",100,100,100,315
"21",100,100,100,335
"22",100,100,100,308
"23",100,100,100,315
"24",100,100,100,268
"25",100,100,100,299
"26",100,100,100,334
"27",100,100,100,232
"28",100,100,100,283
"29",100,100,100,341
"30",100,100,100,267
"31",100,100,100,350
"32",100,100,100,296
"33",100,100,100,353
"34",100,100,100,334
"35",100,100,100,271
"36",100,100,100,258
"37",100,100,100,294
"38",100,100,100,283
"39",100,100,100,304
"40",100,100,100,315
"41",100,100,100,340
"42",100,100,100,311
"43",100,100,100,327
"44",100,100,100,293
"45",100,100,100,312
"46",100,100,100,318
"47",100,100,100,304
"48",100,100,100,295
"49",100,100,100,327
"50",100,100,100,326
"51",100,100,100,305
"52",100,100,100,313
"53",100,100,100,295
"54",100,100,100,396
"55",100,100,100,300
"56",100,100,100,362
"57",100,100,100,272
"58",100,100,100,332
"59",100,100,100,264
"60",100,100,100,280
"61",100,100,100,330
"62",100,100,100,333
"63",100,100,100,310
"64",100,100,100,340
"65",100,100,100,297
"66",100,100,100,269
"67",100,100,100,323
"68",100,100,100,310
"69",100,100,100,328
"70",100,100,100,280
"71",100,100,100,318
"72",100,100,100,310
"73",100,100,100,281
"74",100,100,100,295
"75",100,100,100,325
"76",100,100,100,315
"77",100,100,100,321
"78",100,100,100,315
"79",100,100,100,318
"80",100,100,100,291
"81",100,100,100,307
"82",100,100,100,342
"83",100,100,100,315
"84",100,100,100,313
"85",100,100,100,329
"86",100,100,100,300
"87",100,100,100,301
"88",100,100,100,325
"89",100,100,100,302
"90",100,100,100,285
"91",100,100,100,268
"92",100,100,100,324
"93",100,100,100,318
"94",100,100,100,316
"95",100,100,100,242
"96",100,100,100,292
"97",100,100,100,324
"98",100,100,100,339
"99",100,100,100,318
"100",100,100,100,324
