"","T1","T2","T3","Control"
"1",100,100,100,316
"2",100,100,100,287
"3",100,100,100,281
"4",100,100,100,334
"5",100,100,100,313
"6",100,100,100,309
"7",100,100,100,281
"8",100,100,100,320
"9",100,100,100,331
"10",100,100,100,337
"11",100,100,100,286
"12",100,100,100,278
"13",100,100,100,337
"14",100,100,100,295
"15",100,100,100,272
"16",100,100,100,305
"17",100,100,100,271
"18",100,100,100,323
"19",100,100,100,289
"20",100,100,100,284
"21",100,100,100,279
"22",100,100,100,251
"23",100,100,100,301
"24",100,100,100,322
"25",100,100,100,300
"26",100,100,100,298
"27",100,100,100,311
"28",100,100,100,352
"29",100,100,100,301
"30",100,100,100,307
"31",100,100,100,344
"32",100,100,100,324
"33",100,100,100,311
"34",100,100,100,311
"35",100,100,100,293
"36",100,100,100,327
"37",100,100,100,302
"38",100,100,100,304
"39",100,100,100,303
"40",100,100,100,283
"41",100,100,100,296
"42",100,100,100,302
"43",100,100,100,260
"44",100,100,100,303
"45",100,100,100,266
"46",100,100,100,279
"47",100,100,100,301
"48",100,100,100,326
"49",100,100,100,270
"50",100,100,100,371
"51",100,100,100,331
"52",100,100,100,325
"53",100,100,100,280
"54",100,100,100,308
"55",100,100,100,292
"56",100,100,100,292
"57",100,100,100,314
"58",100,100,100,322
"59",100,100,100,319
"60",100,100,100,286
"61",100,100,100,297
"62",100,100,100,314
"63",100,100,100,291
"64",100,100,100,297
"65",100,100,100,312
"66",100,100,100,350
"67",100,100,100,279
"68",100,100,100,314
"69",100,100,100,340
"70",100,100,100,276
"71",100,100,100,313
"72",100,100,100,314
"73",100,100,100,323
"74",100,100,100,288
"75",100,100,100,343
"76",100,100,100,285
"77",100,100,100,350
"78",100,100,100,280
"79",100,100,100,327
"80",100,100,100,315
"81",100,100,100,304
"82",100,100,100,298
"83",100,100,100,272
"84",100,100,100,335
"85",100,100,100,329
"86",100,100,100,316
"87",100,100,100,296
"88",100,100,100,279
"89",100,100,100,324
"90",100,100,100,291
"91",100,100,100,286
"92",100,100,100,309
"93",100,100,100,333
"94",100,100,100,290
"95",100,100,100,359
"96",100,100,100,328
"97",100,100,100,287
"98",100,100,100,305
"99",100,100,100,317
"100",100,100,100,304
