"","T1","T2","T3"
"1",13,40,30
"2",14,32,29
"3",16,58,72
"4",17,50,39
"5",17,38,36
"6",15,40,25
"7",17,57,60
"8",17,35,37
"9",14,34,36
"10",20,49,45
"11",16,37,34
"12",15,35,29
"13",16,38,29
"14",14,51,32
"15",16,39,37
"16",18,38,35
"17",14,29,25
"18",13,31,26
"19",15,41,32
"20",17,34,27
"21",13,40,22
"22",19,34,37
"23",18,42,43
"24",16,58,39
"25",19,42,39
"26",19,38,39
"27",13,34,26
"28",18,30,33
"29",16,39,28
"30",16,41,32
"31",16,40,36
"32",19,38,41
"33",16,45,25
"34",19,38,36
"35",16,50,33
"36",14,35,31
"37",15,44,38
"38",14,32,31
"39",16,33,33
"40",18,39,44
"41",19,44,47
"42",14,48,33
"43",13,41,34
"44",14,32,23
"45",15,33,29
"46",17,54,55
"47",15,43,28
"48",17,38,36
"49",15,51,58
"50",19,50,40
"51",18,53,38
"52",14,50,30
"53",17,47,43
"54",18,41,33
"55",17,35,37
"56",19,46,51
"57",14,44,27
"58",15,42,43
"59",19,48,41
"60",12,29,19
"61",16,42,35
"62",17,43,39
"63",18,41,38
"64",18,49,30
"65",18,37,38
"66",13,47,34
"67",16,34,28
"68",13,40,35
"69",19,49,44
"70",17,39,41
"71",13,39,41
"72",20,42,35
"73",15,38,28
"74",19,36,36
"75",15,33,24
"76",15,34,29
"77",17,34,32
"78",12,37,39
"79",20,51,64
"80",15,34,25
"81",13,47,32
"82",17,47,40
"83",17,52,47
"84",14,38,26
"85",19,48,44
"86",18,58,35
"87",16,36,25
"88",12,32,26
"89",15,44,40
"90",20,40,42
"91",17,44,43
"92",16,33,30
"93",13,37,36
"94",15,45,29
"95",21,38,40
"96",18,46,35
"97",17,35,31
"98",20,41,43
"99",20,48,42
"100",14,38,28
