"","T1","T2","T3","Control"
"1",100,100,100,359
"2",100,100,100,301
"3",100,100,100,345
"4",100,100,100,315
"5",100,100,100,360
"6",100,100,100,300
"7",100,100,100,334
"8",100,100,100,349
"9",100,100,100,310
"10",100,100,100,343
"11",100,100,100,337
"12",100,100,100,302
"13",100,100,100,304
"14",100,100,100,343
"15",100,100,100,314
"16",100,100,100,334
"17",100,100,100,303
"18",100,100,100,343
"19",100,100,100,288
"20",100,100,100,308
"21",100,100,100,299
"22",100,100,100,296
"23",100,100,100,332
"24",100,100,100,341
"25",100,100,100,342
"26",100,100,100,274
"27",100,100,100,330
"28",100,100,100,307
"29",100,100,100,280
"30",100,100,100,330
"31",100,100,100,284
"32",100,100,100,290
"33",100,100,100,334
"34",100,100,100,316
"35",100,100,100,352
"36",100,100,100,301
"37",100,100,100,286
"38",100,100,100,290
"39",100,100,100,311
"40",100,100,100,290
"41",100,100,100,292
"42",100,100,100,277
"43",100,100,100,312
"44",100,100,100,265
"45",100,100,100,342
"46",100,100,100,304
"47",100,100,100,320
"48",100,100,100,342
"49",100,100,100,337
"50",100,100,100,342
"51",100,100,100,305
"52",100,100,100,327
"53",100,100,100,317
"54",100,100,100,330
"55",100,100,100,350
"56",100,100,100,323
"57",100,100,100,350
"58",100,100,100,331
"59",100,100,100,361
"60",100,100,100,323
"61",100,100,100,345
"62",100,100,100,302
"63",100,100,100,295
"64",100,100,100,311
"65",100,100,100,326
"66",100,100,100,303
"67",100,100,100,274
"68",100,100,100,300
"69",100,100,100,299
"70",100,100,100,326
"71",100,100,100,311
"72",100,100,100,299
"73",100,100,100,346
"74",100,100,100,273
"75",100,100,100,314
"76",100,100,100,310
"77",100,100,100,295
"78",100,100,100,300
"79",100,100,100,342
"80",100,100,100,317
"81",100,100,100,285
"82",100,100,100,305
"83",100,100,100,303
"84",100,100,100,327
"85",100,100,100,319
"86",100,100,100,290
"87",100,100,100,330
"88",100,100,100,303
"89",100,100,100,332
"90",100,100,100,313
"91",100,100,100,338
"92",100,100,100,310
"93",100,100,100,300
"94",100,100,100,335
"95",100,100,100,289
"96",100,100,100,288
"97",100,100,100,345
"98",100,100,100,303
"99",100,100,100,339
"100",100,100,100,323
