"","T1","T2","T3","Control"
"1",100,100,100,316
"2",100,100,100,319
"3",100,100,100,344
"4",100,100,100,338
"5",100,100,100,303
"6",100,100,100,267
"7",100,100,100,341
"8",100,100,100,242
"9",100,100,100,348
"10",100,100,100,313
"11",100,100,100,305
"12",100,100,100,326
"13",100,100,100,270
"14",100,100,100,318
"15",100,100,100,296
"16",100,100,100,268
"17",100,100,100,275
"18",100,100,100,284
"19",100,100,100,270
"20",100,100,100,300
"21",100,100,100,321
"22",100,100,100,267
"23",100,100,100,301
"24",100,100,100,312
"25",100,100,100,307
"26",100,100,100,329
"27",100,100,100,309
"28",100,100,100,348
"29",100,100,100,294
"30",100,100,100,271
"31",100,100,100,310
"32",100,100,100,271
"33",100,100,100,286
"34",100,100,100,286
"35",100,100,100,295
"36",100,100,100,302
"37",100,100,100,310
"38",100,100,100,326
"39",100,100,100,346
"40",100,100,100,307
"41",100,100,100,260
"42",100,100,100,309
"43",100,100,100,285
"44",100,100,100,318
"45",100,100,100,308
"46",100,100,100,343
"47",100,100,100,293
"48",100,100,100,291
"49",100,100,100,295
"50",100,100,100,285
"51",100,100,100,267
"52",100,100,100,284
"53",100,100,100,313
"54",100,100,100,312
"55",100,100,100,352
"56",100,100,100,341
"57",100,100,100,290
"58",100,100,100,331
"59",100,100,100,295
"60",100,100,100,304
"61",100,100,100,310
"62",100,100,100,298
"63",100,100,100,269
"64",100,100,100,314
"65",100,100,100,278
"66",100,100,100,251
"67",100,100,100,299
"68",100,100,100,359
"69",100,100,100,365
"70",100,100,100,342
"71",100,100,100,308
"72",100,100,100,307
"73",100,100,100,335
"74",100,100,100,331
"75",100,100,100,312
"76",100,100,100,341
"77",100,100,100,319
"78",100,100,100,308
"79",100,100,100,304
"80",100,100,100,316
"81",100,100,100,306
"82",100,100,100,312
"83",100,100,100,322
"84",100,100,100,326
"85",100,100,100,315
"86",100,100,100,292
"87",100,100,100,296
"88",100,100,100,342
"89",100,100,100,385
"90",100,100,100,314
"91",100,100,100,284
"92",100,100,100,332
"93",100,100,100,287
"94",100,100,100,291
"95",100,100,100,297
"96",100,100,100,272
"97",100,100,100,299
"98",100,100,100,334
"99",100,100,100,312
"100",100,100,100,323
