"","T1","T2","T3","Control"
"1",100,100,100,287
"2",100,100,100,276
"3",100,100,100,304
"4",100,100,100,288
"5",100,100,100,278
"6",100,100,100,312
"7",100,100,100,299
"8",100,100,100,308
"9",100,100,100,287
"10",100,100,100,292
"11",100,100,100,311
"12",100,100,100,277
"13",100,100,100,332
"14",100,100,100,327
"15",100,100,100,315
"16",100,100,100,278
"17",100,100,100,299
"18",100,100,100,345
"19",100,100,100,352
"20",100,100,100,322
"21",100,100,100,361
"22",100,100,100,320
"23",100,100,100,320
"24",100,100,100,312
"25",100,100,100,338
"26",100,100,100,297
"27",100,100,100,320
"28",100,100,100,300
"29",100,100,100,301
"30",100,100,100,315
"31",100,100,100,317
"32",100,100,100,302
"33",100,100,100,304
"34",100,100,100,272
"35",100,100,100,308
"36",100,100,100,327
"37",100,100,100,312
"38",100,100,100,250
"39",100,100,100,313
"40",100,100,100,323
"41",100,100,100,320
"42",100,100,100,312
"43",100,100,100,328
"44",100,100,100,246
"45",100,100,100,303
"46",100,100,100,323
"47",100,100,100,302
"48",100,100,100,311
"49",100,100,100,323
"50",100,100,100,322
"51",100,100,100,266
"52",100,100,100,297
"53",100,100,100,287
"54",100,100,100,280
"55",100,100,100,316
"56",100,100,100,302
"57",100,100,100,320
"58",100,100,100,276
"59",100,100,100,323
"60",100,100,100,325
"61",100,100,100,323
"62",100,100,100,318
"63",100,100,100,347
"64",100,100,100,307
"65",100,100,100,322
"66",100,100,100,282
"67",100,100,100,317
"68",100,100,100,306
"69",100,100,100,288
"70",100,100,100,258
"71",100,100,100,337
"72",100,100,100,310
"73",100,100,100,300
"74",100,100,100,273
"75",100,100,100,317
"76",100,100,100,283
"77",100,100,100,279
"78",100,100,100,336
"79",100,100,100,304
"80",100,100,100,302
"81",100,100,100,338
"82",100,100,100,300
"83",100,100,100,322
"84",100,100,100,282
"85",100,100,100,277
"86",100,100,100,322
"87",100,100,100,300
"88",100,100,100,339
"89",100,100,100,297
"90",100,100,100,294
"91",100,100,100,287
"92",100,100,100,284
"93",100,100,100,345
"94",100,100,100,303
"95",100,100,100,271
"96",100,100,100,261
"97",100,100,100,322
"98",100,100,100,304
"99",100,100,100,272
"100",100,100,100,279
