"","T1","T2","T3"
"1",47,29,37
"2",39,33,36
"3",27,22,33
"4",34,28,33
"5",34,21,32
"6",71,33,56
"7",42,31,34
"8",27,19,22
"9",56,37,46
"10",37,27,34
"11",47,31,35
"12",46,26,42
"13",62,26,54
"14",54,32,44
"15",41,31,36
"16",37,20,31
"17",44,30,38
"18",49,28,40
"19",49,25,35
"20",41,30,36
"21",42,27,39
"22",30,23,28
"23",54,34,49
"24",32,25,31
"25",47,26,45
"26",35,22,30
"27",43,24,40
"28",35,24,36
"29",48,30,45
"30",51,32,46
"31",45,29,39
"32",47,30,42
"33",32,18,24
"34",34,23,28
"35",46,28,40
"36",33,26,28
"37",34,23,29
"38",34,25,30
"39",35,26,37
"40",53,35,39
"41",40,23,39
"42",33,21,30
"43",53,32,39
"44",44,26,38
"45",35,23,29
"46",64,38,46
"47",30,21,28
"48",47,31,41
"49",34,24,30
"50",34,23,28
"51",32,25,30
"52",44,26,39
"53",42,26,38
"54",46,31,40
"55",41,27,36
"56",40,22,34
"57",46,27,39
"58",38,25,37
"59",36,24,31
"60",32,24,30
"61",30,22,26
"62",45,25,35
"63",56,33,45
"64",42,24,40
"65",55,31,52
"66",43,28,39
"67",37,24,32
"68",40,25,35
"69",38,27,35
"70",37,22,29
"71",45,30,37
"72",43,32,42
"73",39,26,36
"74",41,25,36
"75",46,32,36
"76",33,18,28
"77",37,27,33
"78",40,27,32
"79",37,26,32
"80",40,28,42
"81",36,25,31
"82",66,30,47
"83",37,22,29
"84",50,38,46
"85",49,33,37
"86",56,26,40
"87",37,24,36
"88",49,27,46
"89",40,31,34
"90",41,28,38
"91",37,25,33
"92",44,29,34
"93",42,30,39
"94",34,21,32
"95",38,22,36
"96",35,22,33
"97",47,42,41
"98",36,23,32
"99",40,21,32
"100",41,27,39
