"","T1","T2","T3","Control"
"1",100,100,100,331
"2",100,100,100,341
"3",100,100,100,277
"4",100,100,100,249
"5",100,100,100,293
"6",100,100,100,337
"7",100,100,100,318
"8",100,100,100,291
"9",100,100,100,348
"10",100,100,100,316
"11",100,100,100,296
"12",100,100,100,300
"13",100,100,100,316
"14",100,100,100,285
"15",100,100,100,301
"16",100,100,100,285
"17",100,100,100,328
"18",100,100,100,363
"19",100,100,100,294
"20",100,100,100,324
"21",100,100,100,317
"22",100,100,100,261
"23",100,100,100,322
"24",100,100,100,251
"25",100,100,100,303
"26",100,100,100,284
"27",100,100,100,296
"28",100,100,100,309
"29",100,100,100,299
"30",100,100,100,311
"31",100,100,100,298
"32",100,100,100,307
"33",100,100,100,332
"34",100,100,100,308
"35",100,100,100,297
"36",100,100,100,328
"37",100,100,100,289
"38",100,100,100,279
"39",100,100,100,323
"40",100,100,100,326
"41",100,100,100,269
"42",100,100,100,304
"43",100,100,100,330
"44",100,100,100,328
"45",100,100,100,310
"46",100,100,100,370
"47",100,100,100,274
"48",100,100,100,334
"49",100,100,100,290
"50",100,100,100,309
"51",100,100,100,324
"52",100,100,100,287
"53",100,100,100,290
"54",100,100,100,331
"55",100,100,100,362
"56",100,100,100,289
"57",100,100,100,300
"58",100,100,100,336
"59",100,100,100,330
"60",100,100,100,321
"61",100,100,100,269
"62",100,100,100,314
"63",100,100,100,326
"64",100,100,100,304
"65",100,100,100,282
"66",100,100,100,329
"67",100,100,100,285
"68",100,100,100,271
"69",100,100,100,278
"70",100,100,100,317
"71",100,100,100,321
"72",100,100,100,275
"73",100,100,100,271
"74",100,100,100,320
"75",100,100,100,379
"76",100,100,100,294
"77",100,100,100,311
"78",100,100,100,314
"79",100,100,100,313
"80",100,100,100,307
"81",100,100,100,278
"82",100,100,100,324
"83",100,100,100,340
"84",100,100,100,263
"85",100,100,100,296
"86",100,100,100,318
"87",100,100,100,293
"88",100,100,100,329
"89",100,100,100,324
"90",100,100,100,306
"91",100,100,100,299
"92",100,100,100,296
"93",100,100,100,281
"94",100,100,100,296
"95",100,100,100,279
"96",100,100,100,276
"97",100,100,100,289
"98",100,100,100,260
"99",100,100,100,286
"100",100,100,100,252
