"","T1","T2","T3"
"1",34,23,26
"2",27,22,24
"3",31,22,24
"4",31,24,25
"5",31,19,24
"6",27,22,23
"7",34,22,26
"8",29,19,26
"9",32,24,26
"10",35,25,27
"11",37,26,29
"12",35,21,26
"13",31,24,26
"14",31,20,23
"15",29,24,21
"16",30,22,24
"17",31,25,24
"18",36,28,28
"19",35,26,30
"20",30,22,24
"21",39,25,26
"22",33,24,25
"23",27,20,22
"24",34,27,29
"25",31,24,24
"26",32,28,27
"27",36,23,28
"28",34,23,26
"29",30,23,23
"30",25,19,22
"31",27,21,22
"32",28,22,23
"33",31,21,25
"34",28,19,21
"35",33,22,27
"36",31,24,28
"37",30,22,24
"38",31,21,24
"39",37,21,26
"40",30,22,25
"41",30,23,25
"42",34,23,25
"43",30,20,24
"44",31,23,25
"45",36,22,26
"46",39,26,29
"47",36,26,29
"48",26,19,23
"49",31,23,26
"50",30,20,23
"51",25,22,21
"52",27,19,21
"53",35,24,28
"54",37,29,31
"55",29,23,24
"56",36,25,27
"57",33,24,25
"58",42,32,33
"59",33,25,25
"60",36,26,29
"61",36,29,28
"62",35,26,27
"63",30,23,26
"64",29,20,23
"65",29,20,25
"66",35,27,30
"67",37,26,27
"68",32,24,25
"69",35,23,25
"70",35,24,26
"71",33,23,26
"72",26,20,21
"73",30,22,24
"74",30,24,26
"75",30,23,24
"76",39,22,29
"77",32,24,25
"78",33,25,26
"79",35,23,26
"80",34,26,27
"81",32,22,26
"82",31,24,25
"83",32,24,25
"84",37,27,27
"85",33,25,26
"86",30,20,23
"87",32,24,26
"88",35,25,29
"89",43,29,30
"90",34,23,27
"91",28,22,23
"92",33,24,28
"93",33,27,30
"94",31,21,25
"95",29,20,24
"96",31,25,25
"97",29,24,24
"98",43,30,29
"99",32,22,25
"100",36,27,26
