"","T1","T2","T3"
"1",35,25,28
"2",38,21,28
"3",32,23,25
"4",31,21,22
"5",34,24,27
"6",36,27,29
"7",42,31,36
"8",31,24,25
"9",37,22,28
"10",32,23,25
"11",32,23,27
"12",37,26,28
"13",32,24,26
"14",33,26,24
"15",34,25,30
"16",33,24,28
"17",33,24,28
"18",34,20,27
"19",38,26,27
"20",33,24,27
"21",35,25,26
"22",29,23,23
"23",31,24,22
"24",34,23,26
"25",35,23,28
"26",31,23,26
"27",35,22,26
"28",32,25,27
"29",32,23,26
"30",34,27,28
"31",33,25,26
"32",31,25,23
"33",33,24,24
"34",36,25,28
"35",32,21,25
"36",30,21,24
"37",36,23,27
"38",29,22,24
"39",32,24,26
"40",30,25,24
"41",28,22,23
"42",37,27,30
"43",30,21,23
"44",31,24,25
"45",29,22,25
"46",34,24,26
"47",31,24,23
"48",31,22,25
"49",33,26,26
"50",34,25,27
"51",34,25,26
"52",33,25,25
"53",38,27,26
"54",31,22,24
"55",32,26,27
"56",33,25,27
"57",31,24,25
"58",28,21,24
"59",35,28,30
"60",35,22,27
"61",34,27,28
"62",36,27,28
"63",34,27,28
"64",34,24,28
"65",32,22,26
"66",29,21,24
"67",32,22,26
"68",32,22,23
"69",31,22,26
"70",33,23,24
"71",32,22,26
"72",42,31,30
"73",33,24,26
"74",30,20,22
"75",32,25,27
"76",34,28,28
"77",33,22,25
"78",43,23,30
"79",32,24,23
"80",30,22,25
"81",33,22,28
"82",35,27,31
"83",38,26,28
"84",42,22,28
"85",34,25,28
"86",33,23,28
"87",36,25,30
"88",32,23,26
"89",31,27,26
"90",27,21,22
"91",29,21,23
"92",26,17,20
"93",28,20,22
"94",29,21,25
"95",34,26,27
"96",34,26,29
"97",34,24,27
"98",28,20,22
"99",30,22,23
"100",33,25,29
