"","T1","T2","T3","Control"
"1",100,100,100,295
"2",100,100,100,302
"3",100,100,100,357
"4",100,100,100,290
"5",100,100,100,345
"6",100,100,100,294
"7",100,100,100,263
"8",100,100,100,301
"9",100,100,100,318
"10",100,100,100,305
"11",100,100,100,311
"12",100,100,100,298
"13",100,100,100,329
"14",100,100,100,334
"15",100,100,100,346
"16",100,100,100,346
"17",100,100,100,256
"18",100,100,100,319
"19",100,100,100,274
"20",100,100,100,327
"21",100,100,100,315
"22",100,100,100,321
"23",100,100,100,309
"24",100,100,100,315
"25",100,100,100,302
"26",100,100,100,299
"27",100,100,100,289
"28",100,100,100,316
"29",100,100,100,312
"30",100,100,100,342
"31",100,100,100,276
"32",100,100,100,308
"33",100,100,100,254
"34",100,100,100,339
"35",100,100,100,319
"36",100,100,100,334
"37",100,100,100,280
"38",100,100,100,288
"39",100,100,100,298
"40",100,100,100,306
"41",100,100,100,271
"42",100,100,100,354
"43",100,100,100,359
"44",100,100,100,352
"45",100,100,100,313
"46",100,100,100,321
"47",100,100,100,263
"48",100,100,100,296
"49",100,100,100,303
"50",100,100,100,334
"51",100,100,100,308
"52",100,100,100,290
"53",100,100,100,273
"54",100,100,100,353
"55",100,100,100,318
"56",100,100,100,359
"57",100,100,100,394
"58",100,100,100,308
"59",100,100,100,337
"60",100,100,100,316
"61",100,100,100,289
"62",100,100,100,292
"63",100,100,100,290
"64",100,100,100,269
"65",100,100,100,290
"66",100,100,100,319
"67",100,100,100,271
"68",100,100,100,275
"69",100,100,100,319
"70",100,100,100,345
"71",100,100,100,326
"72",100,100,100,308
"73",100,100,100,326
"74",100,100,100,322
"75",100,100,100,315
"76",100,100,100,307
"77",100,100,100,318
"78",100,100,100,287
"79",100,100,100,305
"80",100,100,100,306
"81",100,100,100,311
"82",100,100,100,285
"83",100,100,100,310
"84",100,100,100,302
"85",100,100,100,334
"86",100,100,100,306
"87",100,100,100,271
"88",100,100,100,305
"89",100,100,100,293
"90",100,100,100,333
"91",100,100,100,305
"92",100,100,100,283
"93",100,100,100,273
"94",100,100,100,310
"95",100,100,100,287
"96",100,100,100,307
"97",100,100,100,286
"98",100,100,100,233
"99",100,100,100,372
"100",100,100,100,282
