"","T1","T2","T3"
"1",37,24,45
"2",58,24,64
"3",37,34,43
"4",30,19,32
"5",45,32,55
"6",39,26,45
"7",35,24,38
"8",45,30,46
"9",39,35,54
"10",39,31,43
"11",40,21,44
"12",39,33,45
"13",41,27,44
"14",39,26,46
"15",50,37,53
"16",40,27,41
"17",38,26,41
"18",32,24,42
"19",43,25,49
"20",38,31,38
"21",34,22,38
"22",49,35,55
"23",35,29,39
"24",48,32,61
"25",43,27,51
"26",33,27,34
"27",35,30,36
"28",35,32,37
"29",33,22,36
"30",36,24,43
"31",46,26,46
"32",40,28,42
"33",36,27,39
"34",51,49,64
"35",38,30,42
"36",42,36,54
"37",45,29,48
"38",36,26,46
"39",32,28,41
"40",46,33,42
"41",32,26,31
"42",28,20,27
"43",39,34,46
"44",38,34,40
"45",33,22,36
"46",36,26,39
"47",30,22,36
"48",41,33,50
"49",29,24,32
"50",40,33,44
"51",30,24,37
"52",24,27,37
"53",40,32,47
"54",37,38,44
"55",36,26,44
"56",38,24,44
"57",36,26,34
"58",37,24,39
"59",33,26,38
"60",33,36,44
"61",38,33,45
"62",54,33,67
"63",27,24,29
"64",47,38,50
"65",31,27,38
"66",34,39,41
"67",30,23,29
"68",32,28,37
"69",37,26,47
"70",35,27,43
"71",36,27,35
"72",30,26,37
"73",31,24,36
"74",40,30,52
"75",32,22,28
"76",45,42,50
"77",36,29,41
"78",32,22,37
"79",43,27,47
"80",33,27,36
"81",32,27,37
"82",34,25,35
"83",33,27,40
"84",32,25,34
"85",30,23,33
"86",32,23,40
"87",33,35,41
"88",43,23,44
"89",31,20,35
"90",37,30,43
"91",39,34,35
"92",32,23,31
"93",37,27,39
"94",39,34,47
"95",30,24,35
"96",32,26,38
"97",37,34,42
"98",41,24,44
"99",39,30,40
"100",40,34,45
