"","T1","T2","T3"
"1",27,23,29
"2",27,23,30
"3",31,23,32
"4",25,20,29
"5",28,23,29
"6",27,20,29
"7",26,25,29
"8",31,26,32
"9",31,19,31
"10",30,24,30
"11",29,22,31
"12",26,21,29
"13",35,25,34
"14",26,23,29
"15",26,24,29
"16",31,26,33
"17",27,21,29
"18",40,30,40
"19",35,22,34
"20",30,28,35
"21",34,24,36
"22",32,24,35
"23",34,31,35
"24",28,24,30
"25",28,24,29
"26",27,21,29
"27",31,27,32
"28",30,21,33
"29",30,27,31
"30",30,25,34
"31",31,25,33
"32",25,20,29
"33",30,25,32
"34",27,18,27
"35",32,26,33
"36",31,26,34
"37",30,24,30
"38",29,20,30
"39",30,24,32
"40",31,26,35
"41",27,26,29
"42",30,28,36
"43",34,24,37
"44",23,19,25
"45",28,23,37
"46",26,26,32
"47",29,23,33
"48",32,27,34
"49",30,26,36
"50",29,23,33
"51",27,23,32
"52",36,25,35
"53",28,25,32
"54",28,24,29
"55",39,32,42
"56",29,25,30
"57",29,23,31
"58",25,16,28
"59",31,26,34
"60",30,26,34
"61",32,27,33
"62",28,21,30
"63",37,31,44
"64",31,25,33
"65",29,22,32
"66",35,30,37
"67",28,21,26
"68",30,24,34
"69",35,27,38
"70",34,28,37
"71",27,26,32
"72",33,27,34
"73",32,27,36
"74",23,19,26
"75",32,26,34
"76",26,20,27
"77",29,23,29
"78",30,25,34
"79",40,33,42
"80",30,21,33
"81",34,32,40
"82",31,27,32
"83",30,27,34
"84",32,25,35
"85",29,24,33
"86",29,27,33
"87",29,23,32
"88",30,24,32
"89",30,22,30
"90",28,24,31
"91",32,27,35
"92",22,23,25
"93",25,23,30
"94",25,19,28
"95",30,21,29
"96",29,24,31
"97",37,24,37
"98",31,26,36
"99",29,20,30
"100",29,25,30
